raw_token,kind,canonical_latin,targets,note
", ноњияи Љ.Балхи.",district,Rumi,Rumi,Љ.Балхи = Jaloliddini Balkhi = former Rumi/Kolkhozobod → canonical Rumi. Khatlon.
2 то,unknown,,,Junk count fragment ('2 то' = 2 units); no location.
Ёвон,district,Yovon,TJ-KT,"Yovon district, Khatlon. Confirmed."
Љумњурии Исломии Афѓонистон,foreign,,Afghanistan,Исламская Республика Афганистан. Верно.
Абдуњрамони Љомї.,district,Dzhami,,Abdurahmoni Jomi → canonical Dzhami; letters transposed in Абдуњрамони.
Айни,district,Ayni,TJ-SU,"Ayni district, Sughd. Confirmed."
"Айни, Гончи, Истаравшан",multi,,Ayni|Ghonchi|Istaravshan,Sughd districts. Correct.
"Айни, Шахристан",multi,,Ayni|Shahriston,Айни=Ayni; Шахристан=Шаҳристон=Shahriston. Confirmed.
Айнинский,district,Ayni,Ayni,Soviet adjective form Айнинский район=Ayni. Confirmed.
Анзоб,city,Ayni,,"Anzob is a settlement/mining jamoat within Ayni district, Sughd. Not a district itself, so kind=city with canonical=Ayni."
Анзоб«ский перевал,district,Ayni,Ayni,"Анзобский перевал (лавиноопасный); джамоат/кишлак Анзоб — в р-не Айни (Согд). Не админ-единица, отнесён к ближайшему району Ayni. Согласен, conf низкая."
Анзобский перевал,district,Ayni,TJ-SU,Anzob pass (Ayni/Varzob border) — attach to Ayni
Ашт,district,Asht,TJ-SU,"Asht district, Sughd. Confirmed."
Ашт/Ходжент/Кайракум,multi,,Asht|Ghafurov|TJ-SU,"Ходжент=Khujand→Ghafurov; Кайракум=Kayrakkum city (now Guliston, not a district)→TJ-SU; Asht is a district. Correct."
Балджувон,district,Baljuvon,TJ-KT,"Baljuvon district, Khatlon. Confirmed."
"Балджувон, Совет",multi,,Baljuvon|Temurmalik,Балджувон=Baljuvon; Совет=Советский→Temurmalik (историческое имя). Верно.
"Балджувон, Ховалинг, Восеъ",multi,,Baljuvon|Khovaling|Vose',Балджувон=Baljuvon; Ховалинг=Khovaling; Восеъ=Vose'. Confirmed.
Бохтар,district,Bokhtar,,Bokhtar есть в списке 58; без префикса — район приоритетнее. Канон Bokhtar независимо от город/район (Курган-Тюбе тоже→Bokhtar).
ВМКБ,region,,TJ-GB,VMKB = Viloyati Mukhtori Kuhistoni Badakhshon = GBAO.
Ванч,district,Vanj,TJ-GB,"Vanj district, GBAO. Confirmed."
Варзоб,district,Varzob,TJ-RA,"Varzob district, RRP. Confirmed."
Вахдат,district,Vahdat,TJ-RA,"Vahdat district (former Kofarnihon/Ordzhonikidzeabad), RRP. Confirmed."
"Вахдат, Ромит",district,Vahdat,Vahdat,"Ромит is a jamoat/gorge inside Vahdat district (former Kofarnihon), never a separate district. Token resolves to a single district, so kind should be district (canonical=Vahdat), not multi. Target unchanged."
"Вахдат, Файзобод",multi,,Vahdat|Faizobod,Вахдат=Vahdat; Файзобод=Faizobod. Confirmed.
Вахш,district,Vakhsh,,Vakhsh district (Khatlon).
Вањдат- Љиргатол,multi,,Vahdat|Jirgatol,Vahdat + Jirgatol — two distinct districts.
Восе,district,Vose',TJ-KT,"Vose' district, Khatlon; canonical apostrophe form matches list. Confirmed."
"Восеъ, Хамадони Хуросон",multi,,Vose'|Hamadoni|Khuroson,"Missing comma: Восеъ=Vose', Хамадони=Hamadoni (M.A.Hamadoni), Хуросон=Khuroson are three distinct Khatlon districts. Confirmed."
Гарм,district,Rasht,Rasht,Гарм = б. имя Рашта → Rasht (РРП). Верно.
Гафуров,district,Ghafurov,,Б. Ленинабадский район = Ghafurov.
Гафуров/Истравшан/Чкаловск/Пенджекент/Канибодом,multi,,Ghafurov|Istaravshan|Panjakent|Konibodom|TJ-SU,Истравшан=Istaravshan; Чкаловск=Chkalovsk/Buston city→TJ-SU; rest Sughd districts. Correct.
Гончи,district,Ghonchi,TJ-SU,"Ghonchi district (=Devashtich), Sughd. Confirmed."
"Гончи, Канибадам",multi,,Ghonchi|Konibodom,Гончи=Ghonchi; Канибадам=Konibodom. Confirmed.
"Гончи, Ура-тюбе",multi,,Ghonchi|Istaravshan,Гончи=Ghonchi; Ура-Тюбе=Istaravshan (Sughd). Correct.
Горно-матчинский,district,Kuhistoni Mastchoh,,Soviet 'Gorno-Matchinsky' = mountainous Matcha = Kuhistoni Mastchoh (Sughd).
Дангара,district,Danghara,,Дангара = Danghara в списке 58.
"Дангара, Кубодиен, Н.Хисрав,",multi,,Danghara|Qabodiyon|Nosiri Khusrav,compound
"Дангара, Кубодиен, Н.Хисрав, ",multi,,Danghara|Qabodiyon|Nosiri Khusrav,Дангара=Danghara; Кубодиен=Ќубодиён=Qabodiyon; Н.Хисрав=Носири Хусрав=Nosiri Khusrav
Данѓара,district,Danghara,Danghara,'Данғара' = Danghara district (Khatlon). Confirmed.
Дарбанд,district,Nurobod,,Darband = Nurobod (ex-Komsomolobod); Darband is its center.
Дарваз,district,Darvoz,,Дарваз → Darvoz (GBAO).
"Дарваз, Ванч, Шугнон, Рушон, Рошткала",multi,,Darvoz|Vanj|Shughnon|Rushon|Roshtqal'a,GBAO districts: Дарваз=Darvoz; Ванч=Vanj; Шугнон=Shughnon; Рушон=Rushon; Рошткала=Roshtqal'a. Confirmed.
Дарвоз,district,Darvoz,TJ-GB,"Darvoz district, GBAO. Confirmed."
Дарвоз.,district,Darvoz,Darvoz,"Darvoz district (GBAO). Confirmed (bare district name, unlike the village-pair token)."
Джиликул,district,Jilikul,,Джиликуль = Jilikul.
"Джиликул, Кабодиен",multi,,Jilikul|Qabodiyon,Джиликул=Jilikul; Кабодиен=Qabodiyon (Хатлон). Верно.
Джиргатал,district,Jirgatol,TJ-RA,"Jirgatol (=Lakhsh, renamed), RRP. Confirmed."
Джиргитал,district,Jirgatol,Jirgatol,"Джиргитал/Джиргаталь=Jirgatol (=Лахш, переименован). Верно."
Джоми,district,Dzhami,TJ-KT,"A.Jomi (Abdurahmoni Jomi) district, Khatlon; canonical 'Dzhami'. Confirmed."
Душанбе,city,,TJ-DU,"Capital city Dushanbe; kind=city, TJ-DU. Confirmed."
"Душанбе, Нурек, Афганистан, ГБАО",multi,,TJ-DU|Norak|Afghanistan|TJ-GB,Mixed token: Душанбе=capital region TJ-DU; Нурек=Norak district; Афганистан=foreign country; ГБАО=region TJ-GB. Multi with mixed targets is the correct representation.
Душанбе-Хучанд,unknown,,,"Автотрасса Душанбе–Худжанд, охватывает несколько регионов/районов, не сводится к одному канону. unknown корректнее, чем натянутый multi. Верно."
Душанбе. Ваҳдат,multi,,TJ-DU|Vahdat,"Душанбе (столица, TJ-DU) + Ваҳдат (б. Кофарнихон) район. Смешанное region+district представление — лучшее из доступных. Верно."
Зафаробод,district,Zafarobod,,Зафарабад = Zafarobod.
И.Сомони,city,,TJ-DU,"Исмоили Сомонӣ raion of Dushanbe → kind=city, TJ-DU."
И.Сомонї,city,,TJ-DU,"Ismoili Somoni is an internal district of Dushanbe city → kind=city, TJ-DU."
Истаравшан,district,Istaravshan,,Б. Ура-Тюбе = Istaravshan.
"Истаравшан, Гочни",multi,,Istaravshan|Ghonchi,Истаравшан=Istaravshan (former Ura-Tyube); Гочни=typo of Гончи=Ghonchi (=Devashtich). Confirmed.
Исфара,district,Isfara,TJ-SU,"Isfara district, Sughd (in canonical list as district despite city status). Confirmed."
"Исфара, Канибодом",multi,,Isfara|Konibodom,Исфара=Isfara; Канибодом=Konibodom. Confirmed.
"Ишкашим, Рушан, Шугнон",multi,,Ishkoshim|Rushon|Shughnon,GBAO districts. Correct.
Ишкошим,district,Ishkoshim,TJ-GB,"Ishkoshim district, GBAO. Confirmed."
Кабодиён,district,Qabodiyon,,Кабодиён/Кубодиён = Qabodiyon.
"Кабодиён, Шаартуз, Колхозабад, Гозималик, Болджуван, Советский",multi,,Qabodiyon|Shahrtuz|Rumi|Baljuvon|Temurmalik,"Колхозабад=Kolkhozobod→Rumi (former name); Советский→Temurmalik; Болджуван=Baljuvon. 'Гозималик' jamoat, unmapped. Khatlon. Correct."
Кайраккум,city,,TJ-SU,"Kayrakkum (now Guliston), city in Sughd; not in 58 list."
Кайрокум,city,,TJ-SU,Кайраккум (Ghafurov area) is a city not in the 58 list; rule maps it explicitly to region Sughd (TJ-SU).
Канибодом,district,Konibodom,,Kanibadam = Konibodom (Sughd).
"Канибодом, Чкаловск",multi,,Konibodom|TJ-SU,"Канибодом=Konibodom (district); Чкаловск=Chkalovsk→Buston city (Sughd, not a district)→TJ-SU. Correct."
Колхозобод,district,Rumi,,"Kolkhozobod = renamed Rumi (J. Balkhi/Rumi, Khatlon)."
Кубодиён,district,Qabodiyon,,Кабодиён/Ќубодиён → Qabodiyon per correspondence table.
Кулоб,district,Kulob,TJ-KT,"Kulob district, Khatlon (in canonical list as district). Confirmed."
"Куляб, Восе, Темур-Малик, Балджувон, Хамадони, Шуробод, Ховалинг",multi,,Kulob|Vose'|Temurmalik|Baljuvon|Hamadoni|Shuro-obod|Khovaling,"Семь районов Кулябской зоны Хатлона, все сопоставления верны: Kulob, Vose', Temurmalik, Baljuvon, Hamadoni, Shuro-obod, Khovaling."
"Куляб, Восе, Темур-Малик, Ховалинг, Муминобад",multi,,Kulob|Vose'|Temurmalik|Khovaling|Muminobod,Куляб=Kulob; Восе=Vose'; Темур-Малик=Temurmalik; Ховалинг=Khovaling; Муминобад=Muminobod. Confirmed.
"Куляб, Темур-Малик",multi,,Kulob|Temurmalik,Куляб=Kulob; Темур-Малик=Temurmalik. Khatlon (Kulob zone). Correct.
Кумсангир,district,Qumsangir,,Kumsangir = Qumsangir (Khatlon).
"Кумсангир, Дангара, Хочамастон, Курган-Тюбе, Шаартуз, Московский, Кабодиен, Куляб",multi,,Qumsangir|Danghara|Bokhtar|Shahrtuz|Hamadoni|Qabodiyon|Kulob,"Курган-Тюбе city→Bokhtar; Московский→Hamadoni (former Moskovsky, context is Khatlon not Russia); Кабодиен=Qabodiyon. 'Хочамастон' jamoat, unmapped. Correct."
"Кумсангир, Пандж",multi,,Qumsangir|Panj,Кумсангир=Qumsangir; Пандж=Panj. Confirmed.
Курган-Тюбе,city,Bokhtar,Bokhtar,Kurgan-Tyube (Qurghonteppa) renamed Bokhtar city (2018); maps to Bokhtar district it centers. Correct.
Курггон-теппа,city,Bokhtar,Bokhtar,"Курггон-теппа=Ќурѓонтеппа/Курган-Тюбе, former name of Bokhtar city → maps to Bokhtar district. Confirmed."
Масчох,district,Mastchoh,,Maschoh (lowland Matcha) = Mastchoh district (Sughd).
Масчоњи Кўњи,district,Kuhistoni Mastchoh,Kuhistoni Mastchoh,"'Масчоҳи Кӯҳӣ' = mountainous Mastchoh = Kuhistoni Mastchoh (Gorno-Matcha), Sughd. Confirmed."
Матча,district,Mastchoh,,Матча alone → lowland Mastchoh (Кӯҳистони/Горно-Матчинский would be Kuhistoni Mastchoh).
Матчинский,district,Mastchoh,Mastchoh,"ВАЖНО: спека рыхло сгруппировала «Матчинский» с Kuhistoni Mastchoh, но географически голый «Матчинский» = равнинный Матча = Mastchoh (Согд, центр Бустон); «Горно-Матчинский» = Kuhistoni Mastchoh (обрабатывается отдельно). Предложение верно — Mastchoh."
"Маълумоти иловагї, ноњияи Лахш.",district,Jirgatol,Jirgatol,'Маълумоти иловагӣ' (additional info) garbage; Lakhsh = Jirgatol.
"Минтаќаи Кулоб, ноњияи Шуробод",district,Shuro-obod,Shuro-obod,'Минтақаи Кӯлоб' is a zonal qualifier; the specific named district is Shurobod=Shuro-obod → district priority. Khatlon.
Минтаќаи Рашт,zone,,TJ-RA,'Минтақаи Рашт' = inter-district Rasht zone -> RRP (TJ-RA). Confirmed.
Муминобод,district,Muminobod,TJ-KT,"Muminobod district, Khatlon. Confirmed."
"Муминобод, Восеъ, Кабадиян, Джиликул",multi,,Muminobod|Vose'|Qabodiyon|Jilikul,Муминобод=Muminobod; Восеъ=Vose'; Кабадиян=Qabodiyon; Джиликул=Jilikul. Confirmed.
"Муминобод, Шуробод",multi,,Muminobod|Shuro-obod,Муминобод=Muminobod; Шуробод=Shuro-obod (Khatlon). Confirmed.
Муминобод/Кабодиён,multi,,Muminobod|Qabodiyon,Khatlon districts. Correct.
Мургаб,district,Murghob,,"ГБАО, Мургаб = Murghob."
"Мургаб, Шугнан",multi,,Murghob|Shughnon,GBAO districts. Correct.
НТҶ,region,,TJ-RA,НТҶ = Ноҳияҳои тобеи ҷумҳурӣ = Districts of Republican Subordination (РРП) → TJ-RA.
Норак,district,Norak,,Норак/Нурек — прямое соответствие Norak в списке 58.
Носири Хисрав,district,Nosiri Khusrav,,Носири Хусрав/Бешкент = Nosiri Khusrav (Хисрав — вариант написания).
Ноњияи Деваштиљ ( Ѓончї ),district,Ghonchi,Ghonchi,Devashtich = new name of Ғончӣ -> Ghonchi (Sughd); parenthetical confirms. Project crosswalk: Ghonchi=Деваштич.
Ноњияи И.Сомонї.,city,,TJ-DU,Ismoili Somoni Dushanbe city-district → TJ-DU; 'ноҳияи' prefix does not change it.
Ноњияи Исмоили Сомонї,city,,TJ-DU,"Ismoili Somoni is an internal district of Dushanbe → kind=city, TJ-DU."
Ноњияи Конибодом,district,Konibodom,Konibodom,Konibodom district (Sughd); duplicate token.
Ноњияи Лахш.,district,Jirgatol,,Lakhsh = renamed Jirgatol → canonical Jirgatol.
Ноњияи Рашт,district,Rasht,,ноҳияи Рашт → Rasht.
Ноњияи Рўдакї,district,Rudaki,Rudaki,Рӯдакӣ = Rudaki (б. Ленинский). Верно.
Ноњияи Спитамен,district,Spitamen,Spitamen,Spitamen district (Sughd). Confirmed.
Ноњияи Тољикобод,district,Tojikobod,Tojikobod,Тоҷикобод = Tojikobod. Верно.
Ноњияи Фархор,district,Farkhor,Farkhor,Farkhor district (Khatlon). Confirmed.
Ноњияи Шањристон,district,Shahriston,,"Shahriston district, Sughd."
Нуробод,district,Nurobod,TJ-RA,"Nurobod district (former Komsomolobod/Darband), RRP. Confirmed."
"Нуробод, Тавилдара, Гарм, Таджикобод, Джиргаталь",multi,,Nurobod|Tavildara|Rasht|Tojikobod|Jirgatol,Гарм=Rasht (former Garm center); Джиргаталь=Jirgatol (=Lakhsh). Rasht valley/RRP. Correct.
"Нуробод, Тавильдара",multi,,Nurobod|Tavildara,Нуробод=Nurobod; Тавильдара=Tavildara (РРП). Верно.
"Нуробод, Точикобод",multi,,Nurobod|Tojikobod,Нуробод=Nurobod; Точикобод=Tojikobod. Confirmed.
"Нуробод, Чиргатол, Тавилдара",multi,,Nurobod|Jirgatol|Tavildara,Нуробод=Nurobod; Чиргатол=Джиргаталь→Jirgatol; Тавилдара=Tavildara. Верно.
"Нуробод,Тавилдара,Джиргаталь",multi,,Nurobod|Tavildara|Jirgatol,Нуробод=Nurobod; Тавилдара=Tavildara; Джиргаталь=Jirgatol (=Lakhsh). Confirmed.
Панч,district,Panj,Panj,Панч=Панҷ=Panj. Confirmed.
Пархар,district,Farkhor,Farkhor,Пархар=Фархор=Farkhor (Хатлон). Верно.
"Пенджекент, Канибадам, Ходжент, Джаббор-Расуловский, Шахристанский, Ура-Тюбинский, Староматчинский",multi,,Panjakent|Konibodom|Ghafurov|Jabbor Rasulov|Shahriston|Istaravshan|Kuhistoni Mastchoh,Ходжент=Khujand city→Ghafurov (surrounding district); Староматчинский=Gorno/Old Matcha→Kuhistoni Mastchoh (distinct from lowland Mastchoh). All Sughd. Correct.
Пенджикент,district,Panjakent,TJ-SU,"Panjakent district, Sughd. Confirmed."
Пяндж,district,Panj,,"Пяндж/Панҷ = Panj district (Khatlon), in the 58 list."
"Пяндж, Шаартуз",multi,,Panj|Shahrtuz,Пяндж=Panj; Шаартуз=Shahrtuz. Confirmed.
РТ,national,,,"РТ = Республикаи Тоҷикистон = whole republic → national, targets empty."
Расулов,district,Jabbor Rasulov,,Ч.Расулов/Пролетарск = Jabbor Rasulov.
Рашт,district,Rasht,TJ-RA,"Rasht district (former Garm), RRP. Confirmed."
"Рашт, Таджикобод, Нуробод",multi,,Rasht|Tojikobod|Nurobod,Рашт=Rasht; Таджикобод=Tojikobod; Нуробод=Nurobod. Confirmed.
Рогун,district,Roghun,TJ-RA,"Roghun district, RRP (in canonical list as district despite city status). Confirmed."
Ромит,city,Vahdat,Vahdat,"Romit=jamoat/gorge settlement inside Vahdat district, not among the 58; kind=city is the best-fit fallback for a populated place mapped to its parent district. Correct."
Рошткала,district,Roshtqal'a,TJ-GB,"Roshtqal'a district, GBAO; canonical apostrophe form matches list. Confirmed."
"Рошткала, Шугнан, Ванч, Хорог",multi,,Roshtqal'a|Shughnon|Vanj,"Three GBAO districts (Рошткала, Шугнан, Ванч=Vanj). Хорог=Khorog is the GBAO city center, not a district in the 58 list, correctly excluded; it only implies TJ-GB which the districts already cover."
"Рошткала, Шугнан, Рушан,",multi,,Roshtqal'a|Shughnon|Rushon,compound (GBAO)
"Рошткала, Шугнан, Рушан, ",multi,,Roshtqal'a|Shughnon|Rushon,GBAO: Рошткала=Roshtqal'a; Шугнан=Shughnon; Рушан=Rushon
Роштќалъа дар дењаи Хабост,district,Roshtqal'a,Roshtqal'a,"'Роштқалъа дар деҳаи Хабост' = Roshtqal'a district, village Khabost (GBAO). Confirmed."
Рудаки,district,Rudaki,TJ-RA,"Rudaki district (former Leninsky), RRP. Confirmed."
"Рудаки, Вахдат",multi,,Rudaki|Vahdat,Рудаки=Rudaki (former Leninский); Вахдат=Vahdat. Confirmed.
Рудакї,district,Rudaki,Rudaki,Rudaki district (RRP). Confirmed.
Руми,district,Rumi,,Руми/Ҷ.Румӣ (former Колхозобод) → Rumi.
Рушан/ Хорог/шугнанский/Ишкашимский/,multi,,Rushon|Shughnon|Ishkoshim|TJ-GB,"Хорог=Khorog city (GBAO capital, not a district)→TJ-GB; Рушан/шугнанский/Ишкашимский=Rushon/Shughnon/Ishkoshim. Correct."
Рушон,district,Rushon,TJ-GB,"Rushon district, GBAO. Confirmed."
"Рушон, Шугнон, Ишкошим",multi,,Rushon|Shughnon|Ishkoshim,GBAO: Рушон=Rushon; Шугнон=Shughnon; Ишкошим=Ishkoshim. Confirmed.
Сарбанд,district,Sarband,,Sarband есть в списке 58; без префикса — район приоритетнее. Город Сарбанд/Левакант также→Sarband.
Сино,city,,TJ-DU,"Сино raion of Dushanbe → kind=city, TJ-DU."
Сомони,city,,TJ-DU,"Abbreviation of Исмоили Сомонӣ, a raion of Dushanbe city. Empty canonical + TJ-DU is correct per Dushanbe-raion rule."
Спитамен,district,Spitamen,,Прямое соответствие Spitamen.
"Спитамен, Ч.Расулов",multi,,Spitamen|Jabbor Rasulov,Спитамен=Spitamen; Ч.Расулов=Ҷ.Расулов=Jabbor Rasulov (former Пролетарск). Confirmed.
Табошар,city,,TJ-SU,"Табошар — город в Согде (ныне Истиклол), нет в списке 58 → регион TJ-SU. Верно."
Тавилдара,district,Tavildara,TJ-RA,"Tavildara district, RRP. Confirmed."
"Таджикабад, Джиргитпль, Нурабад, Рашт, Вахдат, Тавильдара",multi,,Tojikobod|Jirgatol|Nurobod|Rasht|Vahdat|Tavildara,Таджикабад=Tojikobod; Джиргитпль=typo of Джиргиталь=Jirgatol; Нурабад=Nurobod; Рашт=Rasht; Вахдат=Vahdat; Тавильдара=Tavildara. Confirmed.
"Таджикабад, Рашт",multi,,Tojikobod|Rasht,Таджикабад=Tojikobod; Рашт=Rasht (former Garm). RRP/Rasht valley. Correct.
Темур Малик,district,Temurmalik,TJ-KT,"Temurmalik district (former Sovetsky), Khatlon; space collapsed to canonical 'Temurmalik'. Confirmed."
"Темур Малик, Гозималик",multi,,Temurmalik,"Темур Малик=Temurmalik. 'Гозималик' is a jamoat-level locality, not among the 58 districts; leaving it unmapped is the correct conservative choice (adding a low-confidence target would be worse). Correct."
"Темур Малик, Куляб",multi,,Temurmalik|Kulob,Khatlon (Kulob zone) districts. Correct.
Тоджикобод,district,Tojikobod,TJ-RA,"Tojikobod district, RRP. Confirmed."
Турсунзаде,district,Tursunzoda,,Б. Регар = Tursunzoda.
"Ура-Тюбе, Масчох, Пенджекент, Ашт, Гончи, Шахристан, Расулов",multi,,Istaravshan|Mastchoh|Panjakent|Asht|Ghonchi|Shahriston|Jabbor Rasulov,7 tokens map 1:1. Ура-Тюбе=Istaravshan; Масчох=lowland Mastchoh; Гончи=Ghonchi; Расулов=Jabbor Rasulov (Proletarsk). All Sughd. Correct.
"Ура-Тюбе, матчинский, Ходжентском, Наусский, Ганчинский, Джаббар-Расуловский, Зафарабадский, Гафуровский",multi,,Istaravshan|Mastchoh|Ghafurov|Spitamen|Ghonchi|Jabbor Rasulov|Zafarobod,8 tokens→7 targets via legitimate dedup: Ходжентском=Khujand→Ghafurov coincides with Гафуровский=Ghafurov. Наусский=Nau→Spitamen (renamed 2003); матчинский=lowland Mastchoh; Ганчинский=Ghonchi. All Sughd. Correct.
Файзобод,district,Faizobod,TJ-RA,"Faizobod district, RRP. Confirmed."
Фархор,district,Farkhor,,Фархор = Farkhor в списке 58.
Фирдавси,city,,TJ-DU,"Фирдавси is a district of Dushanbe city → kind=city, targets=[TJ-DU]. Confirmed."
"Фирдавси, Сино",city,,TJ-DU,"Firdavsi and Sino are city-districts of Dushanbe→TJ-DU, empty canonical. Correct."
Фрунзенский,city,,TJ-DU,"Frunzensky raion = former name of the Firdavsi city-district of Dushanbe; per rule all Dushanbe city-districts→kind=city, empty canonical, TJ-DU. Correct."
Хамадони,district,Hamadoni,,М.А.Хамадони = Hamadoni; прямое соответствие.
"Хамадони, Фархар",multi,,Hamadoni|Farkhor,Khatlon (Kulob zone) districts. Correct.
Хисор,district,Hisor,TJ-RA,"Hisor district, RRP. Confirmed."
Ховалинг,district,Khovaling,TJ-KT,"Khovaling district, Khatlon. Confirmed."
"Ховалинг, Тавильдара, Таджикобод",multi,,Khovaling|Tavildara|Tojikobod,Ховалинг=Khovaling; Тавильдара=Tavildara; Таджикобод=Tojikobod. Confirmed.
Ховалинг/Кулоб/Советский/Джиликуль/Фархор,multi,,Khovaling|Kulob|Temurmalik|Jilikul|Farkhor,Советский→Temurmalik; Джиликуль=Jilikul; Фархор=Farkhor. Khatlon. Correct.
Хорог,city,,TJ-GB,"Khorog, administrative center of GBAO, separate city not in 58; kind=city, TJ-GB. Confirmed."
"Хорог, р-ны Шугнанский, Ишкошим, Ванч, Дарваз, Рошткала, Рушан, Мургаб",multi,,Shughnon|Ishkoshim|Vanj|Darvoz|Roshtqal'a|Rushon|Murghob|TJ-GB,Хорог=Khorog city→TJ-GB; remainder are the 7 GBAO districts. Correct.
Худжанд,city,Ghafurov,,"Город обл. значения, нет в списке 58; окружён районом Ghafurov (альт. TJ-SU)."
Хуросон,district,Khuroson,TJ-KT,"Khuroson district, Khatlon. Confirmed."
"Хуросон, Джиликуль, Ч.Руми, Бохтар",multi,,Khuroson|Jilikul|Rumi|Bokhtar,"Хуросон=Khuroson; Джиликуль=Jilikul; Ч.Руми=Ҷ.Руми (Jaloliddini Rumi, former Kolkhozobod)=Rumi; Бохтар=Bokhtar. Confirmed."
"Хуросон,Чиликул,Пяндж, Рашт, Муминобод, Кумсангир",multi,,Khuroson|Jilikul|Panj|Rasht|Muminobod|Qumsangir,Хуросон=Khuroson; Чиликул=Jilikul; Пяндж=Panj; Рашт=Rasht; Муминобод=Muminobod; Кумсангир=Qumsangir. Confirmed.
Центральный р-н,city,,TJ-DU,Исторический Центральный район Душанбе (→ ныне Фирдавси) → TJ-DU. Наиболее вероятная интерпретация для БД РТ; conf низкая.
Ш. Душанбе,city,,TJ-DU,Dushanbe city (capital) -> TJ-DU. Confirmed.
Ш. РОГУН,district,Roghun,Roghun,Ш.=шаҳри but Roghun is in the 58-list as a district (RRP); district priority.
Шаартуз,district,Shahrtuz,,Шаартуз/Шахритуз = Shahrtuz.
"Шаартуз, Кабодиен",multi,,Shahrtuz|Qabodiyon,"Два района Хатлона: Шаартуз=Shahrtuz, Кабодиен=Qabodiyon. Верно."
"Шаартуз, Хисрав, Гозималик, Муминобод",multi,,Shahrtuz|Nosiri Khusrav|Muminobod,"Хисрав=Khusrav→Nosiri Khusrav (former Beshkent). 'Гозималик' jamoat, unmapped. Correct."
Шаартуз/Кулоб,multi,,Shahrtuz|Kulob,Khatlon districts. Correct.
