raw_token,kind,canonical_latin,targets,note
н. Шуғнон 2 то,district,Shughnon,,Шуғнон → Shughnon (GBAO); «2 то» is garbage.
н. Шуғнон 3 тарма,district,Shughnon,,Same base; '3 тарма' garbage → Shughnon.
н. Шуғнон 3 то,district,Shughnon,Shughnon,"Shughnon district (GBAO); '3 то' = count noise, ignored. Confirmed."
н. Шуғнон 4 тарма,district,Shughnon,Shughnon,"Шуғнон=Shughnon (ГБАО). «4 тарма» — счётчик лавин, шум. Верно."
н. Шуғнон 6 тарма,district,Shughnon,Shughnon,Shughnon (GBAO); count noise.
н. Шуғнон 7 тарма,district,Shughnon,Shughnon,Shughnon; count noise.
н. Шуғнон 7 то,district,Shughnon,Shughnon,'7 то' garbage. Shughnon. GBAO.
н. Шуғнон 9 тарма,district,Shughnon,Shughnon,Shughnon; count noise.
н. Қубодиён,district,Qabodiyon,Qabodiyon,Qubodiyon -> Qabodiyon (Khatlon) per canon.
н. Ҳамадонӣ,district,Hamadoni,Hamadoni,"Ҳамадонӣ (б. Московский) = Hamadoni, Хатлон. В списке 58. Верно."
н. Ҳисор,district,Hisor,Hisor,Hisor district (RRP). Correct.
н. Ҷ. Балхи,district,Rumi,Rumi,Ҷалолиддини Балхи = переименованный Rumi/Колхозобод; join-ключ Rumi. Верно.
н. Ҷ. Расудов,district,Jabbor Rasulov,Jabbor Rasulov,Опечатка д↔л: Расудов=Расулов → Ҷаббор Расулов (б. Пролетарск). Верно.
н. Ҷайҳун,district,Qumsangir,Qumsangir,Ҷайҳун/Джайхун = переименованный Кумсангир → Qumsangir (Хатлон). Историческое соответствие подтверждено.
н.Бохтар,district,Bokhtar,Bokhtar,Bokhtar in 58-list as a district. Khatlon.
н.Деваштич,district,Ghonchi,Ghonchi,'н.Деваштич' = Devashtich -> Ghonchi (Sughd). Confirmed.
н.Рашт,district,Rasht,,"Rasht district, RRP."
н.Сино,city,,TJ-DU,"Сино — район Душанбе → city, TJ-DU. Верно."
н.Спитамен,district,Spitamen,Spitamen,Spitamen district (Sughd). Confirmed.
ноьияи Айни,district,Ayni,Ayni,Typo 'ноьияи' for 'ноҳияи'; Ayni district (Sughd). Confirmed.
ноњия Варзоб.,district,Varzob,Varzob,Varzob in list. RRP.
ноњия Нуробод,district,Nurobod,Nurobod,Nurobod (former Komsomolobod/Darband). In list. RRP.
ноњия Рўдакї,district,Rudaki,Rudaki,Rudaki (former Leninsky). In list. RRP.
ноњия Тољикобод.,district,Tojikobod,Tojikobod,Тоҷикобод = Tojikobod. Верно.
ноњияи Ёвон,district,Yovon,Yovon,Ёвон=Yovon (Хатлон). Верно.
ноњияи Ѓончи,district,Ghonchi,Ghonchi,'Ғончи' = Ghonchi district (Sughd). Confirmed.
ноњияи Љ.Балхи.,district,Rumi,,Jaloliddini Balkhi = former Rumi/Kolkhozobod → Rumi.
ноњияи Љ.Балхї.,district,Rumi,,Jaloliddini Balkhi = former Rumi/Kolkhozobod → canonical Rumi.
ноњияи Љ.Румї,district,Rumi,Rumi,'Ҷ.Румӣ' = Jaloliddini Rumi/Balkhi (former Kolkhozobod). Project crosswalk confirms Rumi=Колхозобод. Canonical Rumi is in the 58 list.
ноњияи Љайњун.,district,Qumsangir,,Jayhun (Љайњун) is the 2016 rename of Qumsangir District; ruleset maps Джайхун/Љайњун→Qumsangir.
ноњияи Њисор,district,Hisor,Hisor,Ҳисор=Hisor (РРП). Верно.
ноњияи Ќордайи вилояти Љамбил,foreign,,Kazakhstan,"'Korday district of Jambyl Region' = Korday, Jambyl Region, Kazakhstan."
ноњияи Ќубодиён,district,Qabodiyon,Qabodiyon,Qubodiyon = Qabodiyon. In list. Khatlon.
ноњияи Ќумсангир.,district,Qumsangir,,Qumsangir district (now within Jayhun) → canonical Qumsangir.
ноњияи А.Љомї,district,Dzhami,Dzhami,А.Ҷомӣ = Абдурањмони Ҷомӣ → Dzhami (Хатлон). Верно.
ноњияи Айни,district,Ayni,Ayni,Айни=Ayni (Согд). Верно.
ноњияи Айнї,district,Ayni,,Ayni district (Sughd).
ноњияи Айнї.,district,Ayni,,Айнӣ → Ayni (Sughd).
ноњияи Ашт,district,Asht,Asht,Ашт = Asht. Верно.
ноњияи Ашт.,district,Asht,Asht,ноҳияи Ашт. Asht in list. Sughd.
ноњияи Б. Ѓафуров,district,Ghafurov,,"B. Ghafurov district, Sughd."
ноњияи Б. Ѓафуров.,district,Ghafurov,Ghafurov,Б.Ғафуров = Bobojon Ghafurov. In list. Sughd.
ноњияи Б. Щафуров,district,Ghafurov,,B. Ghafurov; Щ is a garbled Ғ.
ноњияи Б.Ѓафуров.,district,Ghafurov,Ghafurov,Б.Ѓафуров = Бободжон Гафуров = Ghafurov. Верно.
ноњияи Балљувон,district,Baljuvon,Baljuvon,Балҷувон=Baljuvon (Хатлон). Верно.
ноњияи Бохтар.,district,Bokhtar,,Bokhtar rural district (renamed Kushoniyon 2017) → canonical Bokhtar; distinct from Bokhtar city.
ноњияи Бўстон,city,,TJ-SU,"Buston (former Chkalovsk) is a city in Sughd, not in 58-list → region TJ-SU."
ноњияи Ванљ,district,Vanj,Vanj,Vanj district (GBAO). Confirmed.
ноњияи Ванљ.,district,Vanj,,Ванҷ → Vanj (GBAO); trailing dot garbage.
ноњияи Варзоб,district,Varzob,,ноҳияи Варзоб = Varzob district (RRP).
ноњияи Варзоб.,district,Varzob,,Варзоб → Varzob (RRP).
ноњияи Вахш,district,Vakhsh,Vakhsh,Vakhsh in list. Khatlon.
ноњияи Вахш.,district,Vakhsh,,"Vakhsh district, Khatlon."
ноњияи Восеъ,district,Vose',,Восеъ → Vose' (with apostrophe as in list).
ноњияи Восеъ.,district,Vose',,"Vose' district, Khatlon."
ноњияи Гулистон.,city,,TJ-SU,"Guliston = 2016 rename of Kayrakkum city, Sughd; not among the 58 → region TJ-SU per ruleset."
ноњияи Данѓара.,district,Danghara,Danghara,Данѓара = Danghara. Верно.
ноњияи Дарвоз,district,Darvoz,,Дарвоз → Darvoz (GBAO).
ноњияи Дарвоз.,district,Darvoz,Darvoz,Дарвоз = Darvoz. Верно.
ноњияи Деваштич,district,Ghonchi,,"Деваштич = new name of Ғончӣ → Ghonchi (join key, Sughd)."
ноњияи Деваштич.,district,Ghonchi,Ghonchi,Devashtich -> Ghonchi (Sughd). Confirmed.
ноњияи Деваштиљ,district,Ghonchi,Ghonchi,Devashtich -> Ghonchi (Sughd). Confirmed.
ноњияи Деваштиљ.,district,Ghonchi,Ghonchi,Devashtich -> Ghonchi (Sughd). Confirmed.
ноњияи Дўсти,district,Qumsangir,Qumsangir,"Dusti is the administrative center of Jayhun district (former Qumsangir), Khatlon; token 'ноҳияи Дӯсти' -> Qumsangir. Not Jilikul (separate district). District priority applies."
ноњияи Зафаробод,district,Zafarobod,,Зафаробод → Zafarobod.
ноњияи Зафаробод.,district,Zafarobod,,Зафаробод → Zafarobod; trailing dot is garbage.
ноњияи И. Сомонї,city,,TJ-DU,"Исмоили Сомонӣ raion of Dushanbe (space variant) → kind=city, TJ-DU."
ноњияи И.Сомонї,city,,TJ-DU,"Исмоили Сомонӣ raion of Dushanbe → kind=city, TJ-DU."
ноњияи И.Сомонї.,city,,TJ-DU,Ismoili Somoni = Dushanbe city-district → TJ-DU.
ноњияи Исмоили Сомонї,city,,TJ-DU,"Исмоили Сомони — район г. Душанбе → TJ-DU, canonical пусто. Верно."
ноњияи Ишкошим,district,Ishkoshim,Ishkoshim,Ishkoshim district (GBAO). Confirmed.
ноњияи Ишкошим.,district,Ishkoshim,Ishkoshim,Ishkoshim in list. GBAO.
ноњияи К.Мастчоњ,district,Kuhistoni Mastchoh,Kuhistoni Mastchoh,"'К.Мастчоҳ' = Кӯҳистони Мастчоҳ (Gorno-Matcha), Sughd. Distinct from Mastchoh. Confirmed."
ноњияи Конибодом,district,Konibodom,Konibodom,Konibodom district (Sughd); duplicate token.
ноњияи Лахш,district,Jirgatol,,Lakhsh = renamed Jirgatol (2016); geoBoundaries key Jirgatol.
ноњияи Лахш.,district,Jirgatol,,Lakhsh = renamed Jirgatol district (RRP).
ноњияи Лахш:,district,Jirgatol,Jirgatol,Lakhsh = renamed Jirgatol → canonical Jirgatol. RRP.
ноњияи М. А Њамадонї,district,Hamadoni,,"M.A. Hamadoni (former Moskovskiy) district, Khatlon."
ноњияи М.А Њамадонї,district,Hamadoni,Hamadoni,М.А Њамадонї = Мир Саид Алии Ҳамадонӣ = Hamadoni. Верно.
ноњияи Мастчоњ,district,Mastchoh,,"Lowland Mastchoh district, Sughd (not the highland Kuhistoni Mastchoh)."
ноњияи Мастчоњ.,district,Mastchoh,,"Lowland Mastchoh district, Sughd."
ноњияи Масчоњ,district,Mastchoh,,"Maschoh variant → lowland Mastchoh, Sughd."
ноњияи Масчоњ.,district,Mastchoh,,"Maschoh spelling variant of lowland Mastchoh, Sughd."
ноњияи Мир Саид Алии Њамадони.,district,Hamadoni,,Full name Mir Said Ali Hamadoni → Hamadoni district.
ноњияи Мурѓоб,district,Murghob,Murghob,'Мурғоб' = Murghob district (GBAO). Confirmed.
ноњияи Муъминобод.,district,Muminobod,,"Muminobod district, Khatlon."
ноњияи Нуробод,district,Nurobod,,Nurobod district (RRP).
ноњияи Нуробод.,district,Nurobod,,Нуробод (b. Komsomolobod/Darband) → Nurobod (RRP).
ноњияи Рашт,district,Rasht,,Rasht district (RRP).
ноњияи Рашт.,district,Rasht,,Рашт (b. Garm) → Rasht (RRP).
ноњияи Роштќалъ,district,Roshtqal'a,Roshtqal'a,Роштқалъ = typo (missing final а) → Roshtqal'a. GBAO.
ноњияи Рошќалъа,district,Roshtqal'a,,"Roshtqal'a district, GBAO."
ноњияи Рошќалъа.,district,Roshtqal'a,,"Roshtqal'a district, GBAO."
ноњияи Рудакї,district,Rudaki,Rudaki,"Rudaki district (RRP, former Leninский). Confirmed."
ноњияи Рудакї:,district,Rudaki,,"Rudaki (former Leninskiy) district, RRP."
ноњияи Рушон.,district,Rushon,,"Rushon district, GBAO."
ноњияи Рўдакї,district,Rudaki,,Рӯдакӣ → Rudaki (RRP).
ноњияи Рўдакї.,district,Rudaki,,Рӯдакӣ (b. Leninsky) → Rudaki (RRP).
ноњияи Рўшон,district,Rushon,Rushon,Rushon district (GBAO). Confirmed.
ноњияи Сангвор,district,Tavildara,,Сангвор = renamed Tavildara; join key Tavildara.
ноњияи Сангвор.,district,Tavildara,,Сангвор = renamed Tavildara (2017); geoBoundaries join key Tavildara.
ноњияи Сино,city,,TJ-DU,"Сино is a raion of Dushanbe city → kind=city, TJ-DU."
ноњияи Сино.,city,,TJ-DU,"Сино = raion of Dushanbe city; kind=city, canonical empty → TJ-DU."
ноњияи Спитамен,district,Spitamen,Spitamen,ноҳияи=район; Спитамен=Spitamen (Согд). Верно.
ноњияи Спитамен.,district,Spitamen,,"Spitamen district (former Nau), Sughd."
ноњияи Темурмалик,district,Temurmalik,Temurmalik,Temurmalik (former Sovetsky). In list. Khatlon.
ноњияи Точикобод,district,Tojikobod,Tojikobod,'ноҳияи Тоҷикобод' = Tojikobod district (RRP). Confirmed.
ноњияи Тољикибод,district,Tojikobod,,"Tojikobod district, RRP; minor spelling variant (Тољикибод)."
ноњияи Тољикобод,district,Tojikobod,,Tojikobod district (RRP).
ноњияи Тољикобод.,district,Tojikobod,,Tojikobod district (RRP).
ноњияи Тољиколбод.,district,Tojikobod,Tojikobod,Опечатка Тољиколбод → Тоҷикобод = Tojikobod. Верно.
ноњияи Фазобод.,district,Faizobod,,Faizobod (Файзобод) with dropped 'и' typo.
ноњияи Файзобод,district,Faizobod,,ноҳияи Файзобод → Faizobod.
ноњияи Файзобод:,district,Faizobod,Faizobod,Faizobod in list. RRP.
ноњияи Фархор,district,Farkhor,Farkhor,Фархор = Farkhor. Верно.
ноњияи Фирдавси.,city,,TJ-DU,"Firdavsi is an internal district of Dushanbe → kind=city, TJ-DU."
ноњияи Фирдавсї,city,,TJ-DU,"Фирдавсӣ is a raion of Dushanbe city → kind=city, TJ-DU."
ноњияи Фирдавсї.,city,,TJ-DU,Фирдавсӣ = raion of Dushanbe city → TJ-DU.
ноњияи Хуросон,district,Khuroson,Khuroson,Khuroson in list. Khatlon.
ноњияи Хуросон.,district,Khuroson,,"Khuroson district, Khatlon."
ноњияи Ш.Шоњин,district,Shuro-obod,Shuro-obod,Ш.Шоҳин = Shamsiddin Shohin = renamed Shurobod (2018) → canonical Shuro-obod. Khatlon.
ноњияи Шањринав,district,Sharinav,,Шаҳринав → Sharinav (RRP).
ноњияи Шањристон,district,Shahriston,,Шаҳристон → Shahriston (Sughd).
ноњияи Шањристон.,district,Shahriston,Shahriston,Шаҳристон=Shahriston (Согд). Точка — мусор. Верно.
ноњияи Шоњмансур,city,,TJ-DU,"Shohmansur is an internal district of Dushanbe → kind=city, TJ-DU."
ноњияи Шоњмансур.,city,,TJ-DU,Shohmansur = Dushanbe city-district → TJ-DU.
ноњияи Шуѓнон,district,Shughnon,,ноҳияи Шуғнон → Shughnon (GBAO).
ноњияиРўдакї,district,Rudaki,Rudaki,Missing space; 'ноҳияи Рӯдакӣ' = Rudaki district (RRP). Confirmed.
ноњияиШањристон,district,Shahriston,Shahriston,Missing space; 'ноҳияи Шаҳристон' = Shahriston district (Sughd). Confirmed.
ноњояи Ашт.,district,Asht,Asht,Typo 'ноҳояи' for 'ноҳияи'; Asht district (Sughd). Confirmed.
ноҳияи Балҷувон,district,Baljuvon,Baljuvon,Балҷувон = Baljuvon. Верно.
ноҳияи Панҷ.,district,Panj,,"Panj district, Khatlon."
ноҳияи Рўдакӣ,district,Rudaki,,Рӯдакӣ → Rudaki (RRP).
ноҳияи Шаҳристон,district,Shahriston,Shahriston,Шаҳристон = Shahriston. Верно.
нуробод,district,Nurobod,Nurobod,Lowercase Нуробод=Nurobod (former Komsomolobod/Darband). Confirmed.
нњияи Зафаробод,district,Zafarobod,Zafarobod,'нњияи' typo of ноҳияи; Zafarobod in list. Sughd.
по 13 районам,national,,,"'across 13 districts'=nationwide aggregate, no specific unit. Correct."
по 23 районам,national,,,'across 23 districts'=nationwide aggregate. Correct.
по 8 районам,national,,,'across 8 districts'=nationwide aggregate. Correct.
рашт,district,Rasht,,Рашт → Rasht.
ховалинг,district,Khovaling,Khovaling,Lowercase Ховалинг=Khovaling. Confirmed.
хуросон,district,Khuroson,,Хуросон → Khuroson (Khatlon).
ш. Актюбинск,foreign,,Kazakhstan,"Актюбинск (Актобе), Казахстан. Верно."
ш. Бохтар,city,Bokhtar,,ш. Бохтар = city (b. Kurgan-Tyube); prompt city-rule Курган-Тюбе/Ќурѓонтеппа→Bokhtar (join key).
ш. Бустон,city,,TJ-SU,"Бустон (б. Чкаловск) — город в Согде, не район из 58 → TJ-SU. Верно."
ш. Вахдат,district,Vahdat,,Vahdat is in the 58 list; district priority over city label.
ш. Вахдат 2 маротиба,district,Vahdat,Vahdat,"ш.=shahri prefix; '2 маротиба'=twice, noise. Vahdat (former Kofarnihon/Ordzhonikidzeabad), RRP. Correct."
ш. Ваҳдат,district,Vahdat,,Vahdat in 58 list; district priority over city label.
ш. Волгодонск,foreign,,Russia,Волгодонск — город РФ. Верно.
ш. Гарм,district,Rasht,,Гарм is the historical name/center of the Rasht (Гармский) district → Rasht.
ш. Гулистон,city,,TJ-SU,"Guliston = former Kayrakkum, city in Sughd; not in 58 list."
ш. Державинскии,foreign,,Kazakhstan,"Derzhavinsk (Akmola Region), Kazakhstan; misspelling with trailing -ii; foreign/KZ is the best fit."
ш. Душанбе,city,,TJ-DU,City of Dushanbe → TJ-DU.
ш. Истаравшан,district,Istaravshan,,Истаравшан (former Ура-Тюбе) → Istaravshan.
ш. Истиклол,city,,TJ-SU,"Истиклол (б. Табошар) — город респ. подчинения в Согде, не район из 58 → TJ-SU. Верно."
ш. Истоклол,city,,TJ-SU,"Истоклол=Истиклол (опечатка) — город в Согде (б. Табошар), нет в списке 58 → регион TJ-SU. Верно."
ш. Исфара,district,Isfara,,Исфара есть в списке 58 как район; префикс ш. — центр.
ш. Конибодом,district,Konibodom,,Канибадам есть в списке 58 как район; префикс ш. — центр.
ш. Кулоб,district,Kulob,,Куляб есть в списке 58 как район; префикс ш. — центр.
ш. Кургонтеппа,city,Bokhtar,,Курган-Тюбе/Ќурѓонтеппа (renamed Bokhtar city 2018) maps to district Bokhtar.
ш. Левакант,city,Sarband,,Левакант = city renamed from Sarband; prompt city-rule maps Сарбанд/Левакант→Sarband (join key).
ш. Москва,foreign,,Russia,Moscow city (labor-migrant death) — not Hamadoni [critic fix]
ш. Мурғоб,district,Murghob,Murghob,"Несмотря на префикс «ш.», Мурғоб — район в списке 58 (ГБАО); приоритет района. Верно."
ш. Норак,district,Norak,,Нурек/Норак есть в списке 58 как район; префикс ш. — центр.
ш. Панжакент,district,Panjakent,Panjakent,"ш.=город, но Панджакент в списке 58 → district Panjakent (Согд). Верно."
ш. Панчакент,district,Panjakent,,Пенджикент есть в списке 58 как район; префикс ш. — центр.
ш. Панљакент,district,Panjakent,Panjakent,Panjakent district (Sughd). Confirmed.
ш. Панҷакент,district,Panjakent,,Пенджикент есть в списке 58 как район; префикс ш. — центр.
ш. Рогун,district,Roghun,,Roghun in 58 list; district priority over city label.
ш. Роғун,district,Roghun,,Roghun in the 58 list; district priority over city label.
ш. Санкт Петербург,foreign,,Russia,"Saint Petersburg, Russia — migration destination."
ш. Сулюкта,foreign,,Kyrgyzstan,"Sulyukta, Batken Region, Kyrgyzstan."
ш. Турсунзода,district,Tursunzoda,,Турсунзода есть в списке 58 как район; префикс ш. — центр.
ш. Хисор,district,Hisor,,"Hisor есть в списке 58 как район; префикс ш. — центр, район приоритетнее."
ш. Хоруг,city,,TJ-GB,"Khorog = GBAO regional center; separate city, not in 58 list."
ш. Хоруғ,city,,TJ-GB,"Khorog city, GBAO center; not in 58 list."
ш. Хучанд,city,Ghafurov,,Худжанд — город обл. значения; окружён районом Ghafurov (альт. TJ-SU).
ш. Хуҷанд,city,Ghafurov,,"Худжанд — город обл. значения, нет в списке 58; окружён районом Ghafurov (альт. TJ-SU). Правило допускает Ghafurov."
ш. Ҳисор,district,Hisor,,Гиссар/Хисор есть в списке 58 как район; префикс ш. — центр.
ш. Ҳисор 2 ҳодиса,district,Hisor,Hisor,Hisor city is center of Hisor district (in canonical 58); district prioritized; count noise.
ш. Ҳисор.ш. Турсунзода.н. Хуросон,multi,,Hisor|Tursunzoda|Khuroson,"Три района: Ҳисор, Турсунзода, Хуросон. Верно."
ш.Истиқлол,city,,TJ-SU,"Истиқлол (б. Табошар) — город в Согде, нет в списке 58 → TJ-SU. Верно."
ш.Конибодом,district,Konibodom,Konibodom,"ш.=город, но Конибодом в списке 58 → district Konibodom (Согд). Верно."
ш.Хисор,district,Hisor,Hisor,Ҳисор в списке 58; приоритет района над префиксом «ш.». Верно.
шахри Краногорск,foreign,,Russia,"шаҳри=город; Краногорск=Красногорск (опечатка), город в Московской обл. РФ → заграница. Верно."
шахри Хисоро,district,Hisor,Hisor,'шаҳри Хисор' = Hisor; Hisor is in the 58 districts -> district (RRP). Confirmed.
шањри Њисор,district,Hisor,,Hisor is in the 58 list; district takes priority over the city label.
шањри Њисор.,district,Hisor,Hisor,"Њисор = Hisor; в списке 58, приоритет района. Верно."
шањри Њисор:,district,Hisor,Hisor,Hisor in 58-list; city Hisor = district center → district priority. RRP.
шањри Ќурѓонтепа,city,Bokhtar,Bokhtar,"Qurghonteppa (Kurgan-Tyube) = Bokhtar city, center of Bokhtar district → canonical Bokhtar."
шањри Ќурѓонтеппа,city,Bokhtar,Bokhtar,Ќурѓонтеппа/Курган-Тюбе = город Бохтар; окружающий район Bokhtar. Верно.
шањри Ќурѓонтеппа.,city,Bokhtar,,Kurgan-Tyube city (Ќурѓонтеппа) → parent district Bokhtar.
шањри Ќўрѓонтепа,city,Bokhtar,Bokhtar,"Qurghonteppa (Kurgan-Tyube) = Bokhtar city, center of Bokhtar district → canonical Bokhtar."
шањри Ќўрѓонтепа.,city,Bokhtar,,Kurgan-Tyube city (Ќўрѓонтепа) = former name of Bokhtar city; parent district Bokhtar per ruleset.
шањри Бўстон,city,,TJ-SU,"Buston (former Chkalovsk) city in Sughd, not in 58-list → TJ-SU."
шањри Вахдат.,district,Vahdat,Vahdat,Vahdat (former Kofarnihon/Ordzhonikidzeabad) is in the 58 list -> district (RRP). Confirmed.
шањри Вањдат,district,Vahdat,,City of Vahdat (b. Kofarnihon/Orjonikidzeabad); Vahdat is an in-list ADM2 unit → district.
шањри Вањдат.,district,Vahdat,Vahdat,"Вањдат = Vahdat (б. Кофарнихон/Орджоникидзеабад); в списке 58, приоритет района. Верно."
шањри Вањдат:,district,Vahdat,Vahdat,Вањдат = Vahdat; мусорный «:» игнорируется. Верно.
шањри Гулистон,city,,TJ-SU,"Guliston = former Kayrakkum, city in Sughd; not in 58 list."
шањри Гулистон.,city,,TJ-SU,"Guliston = city (b. Kayrakkum) in Sughd, not in 58; prompt rule → region TJ-SU."
шањри Душанбе,city,,TJ-DU,Столица Душанбе = регион TJ-DU.
"шањри Душанбе, ноњияи Сино",city,,TJ-DU,Sino district of Dushanbe city -> TJ-DU. Confirmed.
шањри Истаравшан.,district,Istaravshan,Istaravshan,Istaravshan (б. Ура-Тюбе) в списке 58; приоритет района. Верно.
шањри Истиќлол.,city,,TJ-SU,"City Istiqlol (former Taboshar), Sughd; duplicate of capitalized variant."
шањри Исфара,district,Isfara,,Isfara is in the 58 list; district takes priority over city label.
шањри Исфара.,district,Isfara,Isfara,Isfara is in the 58 districts -> district (Sughd). Confirmed.
шањри Конибодом,district,Konibodom,Konibodom,Konibodom in 58-list; шаҳри center = district. Sughd.
шањри Конибодом.,district,Konibodom,Konibodom,"Конибодом = Konibodom; в списке 58, приоритет района. Верно."
шањри Конибодом:,district,Konibodom,Konibodom,Konibodom in 58-list; шаҳри center = district. Sughd.
шањри Норак,district,Norak,,Норак (=Nurek) is in the 58 list; district takes priority over city label.
шањри Норак.,district,Norak,Norak,"Норак (Нурек) = Norak; в списке 58, приоритет района. Верно."
шањри Панљакент,district,Panjakent,,City center of in-list Panjakent district (Sughd) → district.
шањри Панљакент.,district,Panjakent,,City center of in-list Panjakent district → district.
шањри Панҷакент,district,Panjakent,Panjakent,"Панҷакент = Panjakent; в списке 58, приоритет района. Верно."
шањри Роѓун,district,Roghun,,City of Roghun = in-list unit of republican subordination → Roghun.
шањри Роѓун.,district,Roghun,Roghun,"Роѓун = Roghun; в списке 58, приоритет района. Верно."
шањри Сарбанд,district,Sarband,Sarband,Sarband is in the 58-list → district priority over шаҳри prefix (city Sarband/Levakant = center). Khatlon.
шањри Турсунзода,district,Tursunzoda,TJ-RA,city Tursunzoda = center of Tursunzoda district
шањри Хоруѓ,city,,TJ-GB,"Khorog city, GBAO center; not in 58 list."
шањри Хоруѓ.,city,,TJ-GB,"Хоруғ is the GBAO center city, not in the 58 list → TJ-GB; trailing dot garbage."
шањри Хучанд,city,Ghafurov,Ghafurov,Khujand is a city not in 58-list; surrounded by Ghafurov district → canonical Ghafurov (rule permits Ghafurov or TJ-SU). Sughd.
шањри Хуљанд,city,Ghafurov,TJ-SU,Khujand = Sughd capital surrounded by Ghafurov; prompt rule Ghafurov (окружает) or TJ-SU fallback.
шањри Хуљанд.,city,Ghafurov,,Khujand city not in 58 list; surrounded by Ghafurov district (Sughd).
шањриХуљанд,city,Ghafurov,Ghafurov,"'шаҳри Хуҷанд' = Khujand city (Sughd capital), not in 58; mapped to surrounding Ghafurov district per rule (alt TJ-SU acceptable)."
љамоати дењоти Тавилдара,district,Tavildara,Tavildara,'ҷамоати деҳоти' (rural jamoat) prefix stripped; Tavildara in list. RRP.
ҶТ,national,,,'ҶТ' = Ҷумҳурии Тоҷикистон = Republic of Tajikistan (nationwide). Confirmed.
