raw_token,parent_latin,confidence,note
10,,low,"Числовой фрагмент, не топоним."
19,,low,"Числовой фрагмент, не топоним (мусор из выгрузки)."
2,,low,"Числовой фрагмент, не топоним."
3,,low,"Числовой фрагмент, не топоним."
6,,low,"Числовой фрагмент, не топоним."
7,,low,"Числовой фрагмент, не топоним."
Љамоати дењаи Љафр,Vahdat,low,'дехаи Ҷафр' — вариант Ҷафр; предположительно Вахдат. low.
Љамоати дењоти Љафр,Vahdat,low,Ҷафр — предположительно джамоат Вахдатского района (РРП). Повторяется в выгрузке. low.
Љамоати дењоти Алѓа.,Bokhtar,medium,Алға — джамоат Бохтарского района (Хатлон); лишняя точка.
Љамоати дењоти Ш.Шоњтемур,Shughnon,medium,Вариант написания Шириншо Шоҳтемур — Шугнанский р-н (ГБАО).
Љамоати дењотї Ш.Шотемур,Shughnon,medium,"Джамоат им. Шириншо Шотемура (родом из Шугнана), Шугнанский р-н (ГБАО)."
дењоти Љафр,Vahdat,low,Усечённое 'дехоти Ҷафр'; см. Ҷафр — предположительно Вахдат. low.
дењоти Фахробод,Rudaki,medium,Фахробод — джамоат Рудакинского района (трасса на юг от Душанбе).
жамоати дењоти Обурдон,Kuhistoni Mastchoh,high,"Обурдон — джамоат верхнего Зеравшана, Кӯҳистони Мастчоҳ (Согд)."
ноњияи Сангвор.,Tavildara,medium,"Сангвор — отдельный район РРП (выделен из Тавильдары), не входит в 58; историч. родитель Tavildara."
чамоати деоти Сурхоб,Bokhtar,low,"Опечатка 'деоти'; = Сурхоб, Бохтарский р-н (см. №1/57). low."
чамоати дехоти Сари Хосор,Baljuvon,high,"Сари Хосор — джамоат Бальджуванского района (Хатлон), кириллица без диакритики."
љамаоати дењоти Њакимии,Bokhtar,low,Опечатка 'джамаоати'; = Ҳакимӣ. Предположительно Бохтар. low.
љамаоти дењоти Варзобќалъа,Varzob,high,Варзоби Қалъа — центр Варзобского района (РРП).
љамоати Ўнљї,Panjakent,medium,Ӯнҷӣ — селение/джамоат Пенджикентского района (Согд).
љамоати Сучон,,low,"Сӯчон не идентифицирован уверенно; район не установлен. Пусто, low."
љамоати Чорбоѓ,,low,"Чорбоғ — распространённое имя (Согд/Хатлон); район не установлен. Пусто, low."
љамоати дањоти Балх,Rumi,high,Балх → Ҷалолиддини Балхӣ = б. Руми/Колхозобод → Rumi (Хатлон).
љамоати дањоти ба номи С.Айн,Ghafurov,low,"'ба номи С.Айн(ӣ)' — джамоат им. С.Айнӣ; предположительно Согд/Ғафуров, есть одноимённые. low."
љамоати дењоти Ёва,Yovon,low,Ёва — возможно искажение Ёвон/джамоат в Яванском р-не. low.
љамоати дењоти Љиргатол,Jirgatol,high,Центральный джамоат Джиргатальского района (Лахш).
љамоати дењоти Њ.Њусейнов,,low,"Джамоат им. Ҳ.Ҳусейнова; район не установлен. Пусто, low."
љамоати дењоти Њакими,Bokhtar,low,"Джамоат Ҳакимӣ; по кластеру относится к Бохтарскому р-ну, но точная привязка не подтверждена. low."
љамоати дењоти Ќалъаи лаби об,Vanj,low,Қалъаи Лаби Об — предположительно Ванджский район (ГБАО). low.
љамоати дењоти Ќалъаихум,Darvoz,high,Қалъаихумб — центр Дарвозского района (ГБАО).
љамоати дењоти Ќашот,,low,"Қашот не идентифицирован уверенно; район не установлен. Пусто, low."
љамоати дењоти Ќиблаи,,low,"Қиблаӣ не идентифицирован уверенно; район не установлен. Пусто, low."
љамоати дењоти А. Замиров,Konibodom,low,Тот же джамоат им. А.Замирова (с пробелом). Предположительно Согд/Конибодом. low.
љамоати дењоти А.Замиров,Konibodom,low,"Джамоат им. А.Замирова; предположительно Согд (Конибодом), не подтверждено. low."
љамоати дењоти Айнии,Ayni,low,"'Айнии' — возможно центр Айнинского района либо джамоат им. С.Айнӣ. Неоднозначно, low."
љамоати дењоти Анзоб,Ayni,high,Анзоб (перевал/тоннель) — джамоат Айнинского района (Согд).
љамоати дењоти Аскалони,,low,"Аскалонӣ не идентифицирован; район не установлен. Пусто, low."
љамоати дењоти Ванќалъа,Vanj,low,Ванқалъа — предположительно Ванджский р-н (ГБАО). low.
љамоати дењоти Вахё,Tavildara,high,Вахё (Вахио) — джамоат Тавильдаринского района (РРП).
љамоати дењоти Вањдат,Bokhtar,low,Джамоат Вахдат (не путать с районом Vahdat). Вероятно джамоат в Бохтарском районе (кластер с Сурхоб/Алға/Зайнабобод). low.
љамоати дењоти Вишхарв,Rushon,high,Вишхарв — джамоат Рушанского района (ГБАО).
љамоати дењоти Водхуд,Rushon,low,Водхуд не идентифицирован уверенно; по фонетике ГБАО (Рушан/Бартанг). low.
љамоати дењоти Ворух,Isfara,high,Ворух — джамоат-анклав Исфаринского района (Согд).
љамоати дењоти Дар-дар,,low,"Дар-дар не идентифицирован; вероятно ГБАО. Пусто, low."
љамоати дењоти Зайнабобод,Bokhtar,medium,Зайнабобод — сельский джамоат Бохтарского района (Хатлон).
љамоати дењоти Камсомолобод,Nurobod,high,Опечатка Комсомолобод = Нуробод.
љамоати дењоти Комсомолобод,Nurobod,high,Комсомолобод = старое имя Нуробод; центральный джамоат района.
љамоати дењоти Лангар,Ishkoshim,low,"Лангар неоднозначен (есть в Вахане/Ишкошим, а также одноимённые в др. районах). Наиболее известный Langar — Ишкошим. low."
љамоати дењоти Лангари Шоњ,Yovon,low,Лангари Шоҳ — предположительно Яванский р-н; неоднозначно с Лангар в др. районах. low.
љамоати дењоти Лоњур,Faizobod,medium,Лоҳур — джамоат Файзободского района (РРП).
љамоати дењоти Лоњутї,Rudaki,low,"Джамоат им. Лоҳутӣ; предположительно Рудаки, возможна путаница с Лоҳур (Файзобод). low."
љамоати дењоти Лучоб,Rudaki,low,Лучоб — долина/джамоат в пригороде Душанбе; вероятно Рудаки. low.
љамоати дењоти М.Мањмадалиев,,low,"Джамоат им. М.Махмадалиева; район не установлен. Пусто, low."
љамоати дењоти Мастчоњ,Mastchoh,medium,"Мастчоҳ — центральный джамоат Мастчинского района (равнинный, Согд)."
љамоати дењоти Н.Махсум,,low,"Джамоат им. Нусратулло Махсума; район не установлен уверенно. Пусто, low."
љамоати дењоти Н.Мањмуд,,low,"Джамоат им. Н.Махмуда; район не установлен. Пусто, low."
љамоати дењоти Навди,,low,"Навдӣ не идентифицирован уверенно; возможно вариант Навобод. Оставлено пусто, low."
љамоати дењоти Нушор 1,Tavildara,low,Нушор — предположительно Тавильдара/Сангвор (РРП). '1' — нумерация. low.
љамоати дењоти Ориён,,low,"Ориён — вероятно переименованный джамоат; район не установлен. Пусто, low."
љамоати дењоти Пилдон,Tavildara,medium,Пилдон — джамоат Тавильдаринского района (РРП).
љамоати дењоти Понѓоз,Asht,high,Понғоз (Пангаз) — джамоат Аштского района (Согд).
љамоати дењоти Пунук,,low,"Пунук не идентифицирован; вероятно ГБАО/Рашт. Пусто, low."
љамоати дењоти Работ,Jirgatol,low,Работ — многозначно; в контексте РРП/Лахш возможен Джиргаталь. low.
љамоати дењоти С.Айнї,Ghafurov,low,"Джамоат им. С.Айнӣ; таких несколько по стране, предположительно Согд/Ғафуров. low."
љамоати дењоти Саразм,Panjakent,high,"Саразм — джамоат Пенджикентского района (Согд), древнее городище."
љамоати дењоти Сарикишти,,low,"Сарикишти не идентифицирован; вероятно ГБАО. Пусто, low."
љамоати дењоти Сафар,,low,"Сафар не идентифицирован уверенно; район не установлен. Пусто, low."
љамоати дењоти Сомниёни,,low,"Сомниёни/Сомониён не идентифицирован уверенно; район не установлен. Пусто, low."
љамоати дењоти Сомонии,,low,"Сомонӣ — распространённое имя джамоата; район не установлен. Пусто, low."
љамоати дењоти Сурхоб,Bokhtar,low,Сурхоб — джамоат Бохтарского района (см. токен №1); есть и одноимённые в РРП. low.
љамоати дењоти Суљина,Panjakent,low,Суҷина — предположительно Пенджикентский р-н (Согд). low.
љамоати дењоти Тавилдара,Tavildara,high,Центральный джамоат Тавильдаринского района (РРП).
љамоати дењоти Узун,Yovon,medium,Узун — джамоат Яванского района (Хатлон).
љамоати дењоти Хундон,,low,"Хундон не идентифицирован; район не установлен. Пусто, low."
љамоати дењоти Хурм,,low,"Хурм — не идентифицирован уверенно; возможно Бохтарский р-н. Оставлено пусто, low."
љамоати дењоти Чимтеппа,Vakhsh,low,Чимтеппа — предположительно Вахшский р-н (Хатлон); не подтверждено. low.
љамоати дењоти Чоргултеппа,Dzhami,low,Чоргултеппа — предположительно р-н А.Ҷомӣ (Хатлон); не подтверждено. low.
љамоати дењоти Шабозов,Shughnon,low,"Джамоат им. Шабозова, памирская фамилия — предположительно Шугнан (ГБАО). low."
љамоати дењоти Ширинчашма,Shahrtuz,low,Ширинчашма — предположительно Шаҳритузский р-н (Хатлон). low.
љамоати дењоти Эсанбой,,low,"Эсанбой не идентифицирован уверенно; вероятно Согд. Пусто, low."
љамоати дењоти шањраки Оби-Гарм,Roghun,medium,"Обигарм — поселковый джамоат, историч. центр Рогунского района (РРП)."
љамоати шањраки Адрасмон,Asht,high,Адрасмон — поселковый джамоат Аштского района (Согд).
љамоатидењоти Вањдат,Bokhtar,low,Слитное написание 'джамоати дехоти Вахдат'; см. токен Вањдат — джамоат в Бохтаре. low.
љамоатишањракиБохтариён,Bokhtar,medium,Слитно: 'джамоати шахраки Бохтариён'. Бохтариён — поселковый джамоат в Бохтарском районе.
љамоатњои Сурхоб ва љамоати Алѓа,Bokhtar,medium,"Два джамоата: Сурхоб + Алға. Оба — сельские джамоаты Бохтарского района (Хатлон). multi, но один родитель."
