raw_token,primary_code,secondary_codes,verified,freq,note
гаркшуда,accident.drowning,,yes,393,"гарқшуда = утонул/утопление. Прямое соответствие, вода подразумевается. High."
сели,nat.geo.mudflow,,yes,372,тадж. мн. от сел = сель. High.
"дожди, сели",nat.geo.mudflow,nat.meteo.downpour,yes,313,"Составное; правило сель>дождь: сель primary, дождь secondary. High."
землетрясение,nat.geophys.earthquake,,yes,265,Прямое соответствие. High.
оползень,nat.geo.landslide,,yes,203,Прямое соответствие. High.
дожди,nat.meteo.downpour,,yes,199,Дождь/ливень. High.
тарма,nat.geo.avalanche,,yes,196,тарма = лавина (по словарю). High.
подъем уровня воды,nat.hydro.flood,,yes,184,Подъём уровня воды → наводнение/подъём воды. High.
сел,nat.geo.mudflow,,yes,157,сел = сель. High.
ветер,nat.meteo.windstorm,,yes,137,Единственный ветровой код — сильный/ураганный ветер; запись как тип ЧС подразумевает поражающий фактор. High.
садамаи наклиёт,tech.transport.road,,yes,110,садамаи нақлиёт = транспортное происшествие; дефолт — ДТП/дорога. High.
сухтор,tech.fire_explosion,,yes,84,По правилу сухтор без контекста = бытовой пожар. Нет пометки лес/природа → не nat.fire. Medium.
СЕЛ,nat.geo.mudflow,,yes,79,Сель (капс). High.
лавина,nat.geo.avalanche,,yes,73,Прямое соответствие. High.
ТАРМА,nat.geo.avalanche,,yes,67,тарма = лавина (капс). High.
Гаркшави,accident.drowning,,yes,65,Гарқшавӣ = утопление. High.
снегопады,nat.meteo.snowfall,,yes,64,Снегопад (мн.). High.
Гарқшавӣ,accident.drowning,,yes,62,Утопление (тадж.). High.
заминчунби,nat.geophys.earthquake,,yes,58,заминчунбӣ = землетрясение. High.
"снегопады, морозы",nat.meteo.snowfall,nat.meteo.frost,yes,53,"Составное без явной иерархии; снегопад как более разрушительный/основной фактор → primary, мороз → secondary. Проверил обратный вариант — менее обоснован. Medium."
"дожди, ветер",nat.meteo.downpour,nat.meteo.windstorm,yes,52,"Составное без явной иерархии; дождь перечислен первым → primary, ветер → secondary. Medium."
сангрез,nat.geo.rockfall,,yes,52,сангрез(а) = камнепад/обвал. High.
"дожди, поднятие уровня воды",nat.hydro.flood,nat.meteo.downpour,yes,51,"Составное; правило наводнение>дождь: наводнение primary, дождь secondary. High."
кушодани дарҳо,accident.other,,yes,49,"Букв. «открывание дверей» — неясный артефакт; по правилу primary = accident.other, гипотеза в note. Low."
Заминљунбї,nat.geophys.earthquake,,yes,48,Заминљунбӣ = землетрясение. High.
ҳодисаи нохуш,accident.other,,yes,43,несчастный случай → прочее происшествие (по словарю). High.
шамоли сахт,nat.meteo.windstorm,,yes,42,шамоли сахт = сильный ветер. High.
Заминларза,nat.geophys.earthquake,,yes,39,заминларза = землетрясение. High.
лавины,nat.geo.avalanche,,yes,38,Лавина (мн.). High.
"ходисаи нохуш, беэхтиёти",accident.other,,yes,36,"Несчастный случай + неосторожность — оба маппятся в accident.other, отдельного secondary нет. High."
БАЛАНДШАВИИ ОБ,nat.hydro.flood,,yes,35,баландшавии об = подъём воды → наводнение (капс). High.
"дождь, град, сель",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.hail,yes,33,"Составное; сель доминирует, дождь и град → secondary. Все компоненты учтены. High."
"дожди, град",nat.meteo.downpour,nat.meteo.hail,yes,32,"Составное без явной иерархии; дождь первым → primary, град → secondary. Medium."
высокие уровни воды,nat.hydro.flood,,yes,31,Высокие уровни воды → наводнение/подъём воды. High.
баландшавии сатҳи об,nat.hydro.flood,,yes,31,баландшавии сатҳи об = подъём уровня воды → наводнение. High.
засуха,nat.meteo.drought,,yes,30,Прямое соответствие. High.
"дожди, град, сели",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.hail,yes,28,"Составное; сель доминирует, дождь и град → secondary. High."
Землетрясение,nat.geophys.earthquake,,yes,28,Прямое соответствие. High.
ёфтани ҷасад,accident.other,,yes,27,"По правилу: обнаружение тела без указания воды → accident.other (не drowning), хотя возможен исход утопления. Medium."
заминларза,nat.geophys.earthquake,,yes,26,заминларза = землетрясение. High.
сель,nat.geo.mudflow,,yes,25,Прямое соответствие. High.
камнепад,nat.geo.rockfall,,yes,24,Камнепад/обвал. High.
баландшавии сатхи об,nat.hydro.flood,,yes,24,Орфовариант (х вместо ҳ) баландшавии сатҳи об → наводнение. High.
ярч,nat.geo.landslide,,yes,24,"По словарю кодов ярч = сход грунта → оползень. Скептич. замечание: ярч также «овраг/промоина», но правило явно фиксирует landslide. High."
Баландшави сатхи об,nat.hydro.flood,,yes,23,Орфовариант баландшавии сатҳи об → наводнение. High.
"дожди, град, ветер",nat.meteo.downpour,nat.meteo.hail|nat.meteo.windstorm,yes,22,"Составное чисто метео без разрушительной доминанты (нет селя/лавины/наводнения). Дождь ведущий, град+ветер вторичны. Согласен, medium оправдан."
"снегопады, лавины",nat.geo.avalanche,nat.meteo.snowfall,yes,22,"Правило прямо: лавина > снегопад. Лавина primary, снегопад secondary. high корректно."
боришоти борон аз меъёр зиёд,nat.meteo.downpour,,yes,22,"«осадки дождя выше нормы» = ливень/дождь. Одиночное, high корректно."
подтопление,nat.hydro.waterlogging,,yes,21,Прямое соответствие подтопление = nat.hydro.waterlogging. high.
"дожди, сели, ветер",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.windstorm,yes,21,Сель — доминанта (сель > дождь). Дождь и ветер вторичны. high корректно.
Лавина,nat.geo.avalanche,,yes,21,Прямое соответствие лавина = nat.geo.avalanche. high.
Сел,nat.geo.mudflow,,yes,20,сел = сель = nat.geo.mudflow. high.
Сангрези,nat.geo.rockfall,,yes,19,сангрез(а)/сангрези = обвал/камнепад = nat.geo.rockfall. high.
ЯРЧ,nat.geo.landslide,,yes,18,«ярч» = сход грунта → оползень по прямому правилу в списке кодов. high.
садамаи наклиёти,tech.transport.road,,yes,17,садамаи нақлиёт = ДТП = tech.transport.road. high.
садамаи нақлиёт,tech.transport.road,,yes,16,ДТП = tech.transport.road. high.
обвал,nat.geo.rockfall,,yes,14,обвал = nat.geo.rockfall. high.
кушодани дар,accident.other,,yes,14,"«открывание двери(ей)» — неясно; по правилу «кушодани дар(ҳо)» → accident.other, confidence=low, гипотеза бытового происшествия. Согласен."
Шамоли сахт,nat.meteo.windstorm,,yes,14,шамоли сахт = сильный ветер = nat.meteo.windstorm. high.
ғарқшуда,accident.drowning,,yes,14,ғарқшуда = утонувший = accident.drowning. high.
прорыв,nat.hydro.flood,,no,13,"прорыв воды/дамбы — неоднозначно, дефолт наводнение [manual]"
"Град, сели",nat.geo.mudflow,nat.meteo.hail,yes,13,"Сель — доминанта, град вторичен. high корректно."
"дожди, снегопады",nat.meteo.downpour,nat.meteo.snowfall,yes,13,"Составное метео без разрушительной доминанты; дождь ведущий, снегопад вторичен. medium оправдан."
"снегопады, лавины, мороз",nat.geo.avalanche,nat.meteo.snowfall|nat.meteo.frost,yes,13,лавина > снегопад; мороз вторичен. high корректно.
ходисаи нохуш,accident.other,,yes,13,ходисаи нохуш = несчастный случай = accident.other. high.
сильный ветер,nat.meteo.windstorm,,yes,12,Прямое соответствие = nat.meteo.windstorm. high.
Сухтор,tech.fire_explosion,,yes,12,«сухтор» без контекста = бытовой пожар → tech.fire_explosion по правилу. medium корректно (при явном лесном был бы nat.fire).
"дождь, град",nat.meteo.downpour,nat.meteo.hail,yes,11,"Составное метео; дождь ведущий, град вторичен. high приемлемо."
"подъем уровня воды, сели",nat.geo.mudflow,nat.hydro.flood,yes,11,Сель наиболее разрушителен → primary; подъём уровня воды (наводнение) вторичен. medium оправдан.
"дожди, оползень",nat.geo.landslide,nat.meteo.downpour,yes,10,"Оползень разрушительнее дождя (аналогично сель>дождь). Оползень primary, дождь вторичен. high приемлемо."
боришоти борн аз меъёр зиёд (сел),nat.geo.mudflow,nat.meteo.downpour,yes,10,"Ливень выше нормы, вызвавший сель (явно указан «сел»); сель — доминанта, ливень вторичен. high корректно."
"дожди, сели, наводнения",nat.geo.mudflow,nat.meteo.downpour|nat.hydro.flood,yes,9,Сель — доминанта; дождь и наводнение вторичны. medium оправдан из-за составности.
гроза,nat.meteo.lightning,,yes,9,гроза = гроза/удар молнии = nat.meteo.lightning. high.
Шамол,nat.meteo.windstorm,,yes,9,шамол = ветер → nat.meteo.windstorm. high.
Садамаи наклёт ба дарё афтида,tech.transport.road,accident.drowning,yes,9,"ДТП с падением транспорта в реку; primary — ДТП, вероятный исход утопление secondary. medium корректно."
боришоти барф аз меъёр зиёд,nat.meteo.snowfall,,yes,9,«осадки снега выше нормы» = снегопад = nat.meteo.snowfall. high.
"осадки, сели, оползни",nat.geo.mudflow,nat.geo.landslide|nat.meteo.downpour,yes,8,"Сель — доминанта; осадки→ливень, оползни вторичны. medium оправдан."
Сильный ветер,nat.meteo.windstorm,,yes,8,Прямое соответствие = nat.meteo.windstorm. high.
наводнение,nat.hydro.flood,,yes,8,наводнение/подъём воды = nat.hydro.flood. high.
Садамаи наклёт,tech.transport.road,,yes,8,наклёт = нақлиёт → ДТП = tech.transport.road. high.
"дожди, град, сели, ветер",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.hail|nat.meteo.windstorm,yes,7,"Сель — доминанта; дождь, град, ветер вторичны. high корректно."
"Сели, оползень",nat.geo.mudflow,nat.geo.landslide,yes,7,"Сель — доминанта, оползень вторичен. high корректно."
"сель, наводнение",nat.geo.mudflow,nat.hydro.flood,yes,7,Сель наиболее разрушителен → primary; наводнение вторично. medium оправдан.
"сильные дожди,сели",nat.geo.mudflow,nat.meteo.downpour,yes,7,"Сель — доминанта, ливень вторичен. high корректно."
Садамаи ниқлётӣ,tech.transport.road,,yes,7,ниқлётӣ = нақлиёт → ДТП = tech.transport.road. high.
"ветер, град",nat.meteo.windstorm,nat.meteo.hail,yes,6,"Составное метео без разрушительной доминанты; ветер ведущий, град вторичен. medium оправдан."
Обвал,nat.geo.rockfall,,yes,6,обвал = nat.geo.rockfall. high.
морозы,nat.meteo.frost,,yes,6,морозы = мороз = nat.meteo.frost. high.
Ветер,nat.meteo.windstorm,,yes,6,ветер → сильный/ураганный ветер = nat.meteo.windstorm. high.
"дождь, наводнение",nat.hydro.flood,nat.meteo.downpour,yes,6,"Правило прямо: наводнение > дождь. Наводнение primary, дождь вторичен. high корректно."
таркиши балони газ,tech.fire_explosion,,yes,6,Взрыв газового баллона = взрыв/пожар в быту/здании. Верно.
раъду барк,nat.meteo.lightning,,yes,6,раъду барқ прямо указан в списке как гроза/удар молнии. Верно.
афтидани снаряд,accident.other,,yes,6,"Падение снаряда; спец. кода для боеприпасов/военных ЧП нет → прочее происшествие. accident.other точнее, чем UNKNOWN (текст читаем и понятен)."
СУХТОР,tech.fire_explosion,,yes,6,"сухтор без контекста = бытовой пожар (по правилу). Природный/лесной был бы nat.fire, но контекста нет. Верно."
Боридани борон,nat.meteo.downpour,,yes,6,боридани борон = выпадение дождя. Верно.
ГАРКШАВИ,accident.drowning,,yes,6,гаркшавӣ = утопление (в списке). Верно.
дарёфти лавозимоти ҳарбӣ,accident.other,,yes,6,Обнаружение военного снаряжения/боеприпасов; спец. кода нет → прочее происшествие.
сангреза,nat.geo.rockfall,,yes,6,сангреза = камнепад/обвал (в списке rockfall). Верно.
садамаи нақлиёти,tech.transport.road,,yes,6,садамаи нақлиёт = ДТП. Верно.
град,nat.meteo.hail,,yes,5,град. Верно.
СБ,accident.other,,no,5,"неясная аббревиатура → прочее [manual, review]"
"дождь, ветер, сель",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.windstorm,yes,5,Составное; сель доминирует (сель > дождь). Верно.
"дожди, сели, оползни",nat.geo.mudflow,nat.geo.landslide|nat.meteo.downpour,yes,5,"Составное; сель принят доминирующим. Сель vs оползень спорно (оба гео), но сель — более протяжённый разрушительный поток; согласен."
"дождь, град, ветер, сели",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.hail|nat.meteo.windstorm,yes,5,Составное; сель доминирует. Все токены покрыты. Верно.
"дождь, град, сели",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.hail,yes,5,Составное; сель доминирует. Верно.
"дожди, град, ветер, сели",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.hail|nat.meteo.windstorm,yes,5,Составное; сель доминирует. Верно.
"оползень, сель",nat.geo.mudflow,nat.geo.landslide,yes,5,"Сель принят доминирующим над оползнем — спорно, но приемлемо; согласен."
"дожди, сели, ветер, наводнения",nat.geo.mudflow,nat.hydro.flood|nat.meteo.downpour|nat.meteo.windstorm,yes,5,"Составное; сель доминирует над наводнением/дождём/ветром (правило: сель>дождь, наводнение>дождь; сель — локально самый разрушительный). Согласен."
Садамаи наклёти,tech.transport.road,,yes,5,Опечатка садамаи нақлиёт = ДТП. Верно.
Садамаи ниқлётӣ дар даё,tech.transport.road,accident.drowning,yes,5,"ДТП в реке (дар дарё); drowning как водный элемент/вероятный исход — спекулятивно, но обоснованно флагирует утопление. Согласен, уверенность низкая."
худкуши,accident.other,,yes,5,худкушӣ = самоубийство; спец. кода нет → прочее происшествие. Верно.
шикасти дарахтҳо,nat.meteo.windstorm,,yes,5,"Поломка деревьев — обычно следствие сильного ветра; альт. мокрый снег/налипание льда. Согласен, уверенность низкая."
"дожди, снегопады, ветер",nat.meteo.downpour,nat.meteo.snowfall|nat.meteo.windstorm,yes,4,"Чисто метео-комбо без гео/гидро; primary по ведущему токену. Скептически: ветер мог бы быть primary как более разрушительный, но однозначного ранга нет — согласен при низкой уверенности."
"дождь, град, ветер",nat.meteo.downpour,nat.meteo.hail|nat.meteo.windstorm,yes,4,"Метео-комбо; дождь ведущий. Град/ветер также кандидаты в primary; согласен, уверенность средняя/низкая."
"дождь, сель, ветер",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.windstorm,yes,4,Составное; сель доминирует. Верно.
"снегопады, ветер",nat.meteo.snowfall,nat.meteo.windstorm,yes,4,Снегопад с ветром (буран); снегопад ведущий. Верно.
ливневые дожди,nat.meteo.downpour,,yes,4,Ливневые дожди. Верно.
дождь со снегом,nat.meteo.downpour,nat.meteo.snowfall,yes,4,Дождь со снегом; снег вторично. Верно.
боришоти борон,nat.meteo.downpour,,yes,4,боришоти борон = осадки дождя (в списке). Верно.
бедаракгашта,accident.other,,yes,4,бедарак гашта = пропал без вести → прочее происшествие. Верно.
Кандашавии куҳпора,nat.geo.rockfall,,yes,4,кандашавии кӯҳпора = обвал горной породы (кӯҳпора в списке rockfall). Верно.
ЛАГЖИШИ ЗАМИН,nat.geo.landslide,,yes,4,лагжиши замин = оползень (в списке). Верно.
Садамаи ниқлётӣ ба ҷари афтида,tech.transport.road,,yes,4,ДТП с падением в овраг/пропасть (ба ҷар афтида). Верно.
ихроҷи газ,tech.utilities,,yes,4,"Утечка/выброс газа → вероятно авария газоснабжения (ЖКХ); при токсичном выбросе — tech.chemical, при возгорании — tech.fire_explosion. Согласен, уверенность низкая."
аз беэҳтиёти,accident.other,,yes,4,беэхтиётӣ прямо перечислен в списке accident.other; 'по неосторожности' → прочее происшествие. Верно.
илтиҳоби шуш,accident.other,,yes,4,"илтиҳоби шуш = воспаление лёгких; болезнь/причина смерти, не ЧС; catch-all accident.other; при вспышке — bio.epidemic. Согласен, уверенность низкая."
туман,nat.meteo.fog,,no,3,Туман.
"дожди, град, снег",nat.meteo.downpour,nat.meteo.hail|nat.meteo.snowfall,no,3,"Составное: дождь+град+снегопад; геособытий нет, доминанта не выражена — primary=дождь (ведущий)."
шамол,nat.meteo.windstorm,,no,3,шамол=ветер.
яхбанди,nat.meteo.frost,,no,3,"яхбандӣ/яхбандон=мороз, гололёд."
Садамаи наклёт дар об,tech.transport.road,accident.drowning,no,3,садамаи нақлиёт дар об=транспортное происшествие в воде; спецкода водного транспорта нет → road; вероятный исход — утопление.
Таркиши мина,tech.fire_explosion,,no,3,"таркиши мина=взрыв мины; точного кода нет, отнесено к взрыву; альтернатива accident.other."
Садамаи ниқлётӣ дар об,tech.transport.road,accident.drowning,no,3,"То же, что 'садамаи нақлиёт дар об' (опечатка ниқлётӣ)."
Сухтори автомобил,tech.fire_explosion,,no,3,сӯхтори автомобил=возгорание автомобиля → техногенный пожар.
боришоти борон аз меъёр зиёд (ярч),nat.geo.landslide,nat.meteo.downpour,no,3,Избыточные осадки + ярч(сход грунта=оползень); геособытие доминирует над дождём.
боришоти борн аз меъёр зиёд (ярч),nat.geo.landslide,nat.meteo.downpour,no,3,"Опечатка 'борн'; то же, что предыдущий токен."
"дожди, таяние снега",nat.hydro.freshet,nat.meteo.downpour,yes,3,Дожди + снеготаяние → паводок; снеготаяние = драйвер паводка (freshet). Верно.
"Дожди, сели, наводнения",nat.geo.mudflow,nat.hydro.flood|nat.meteo.downpour,yes,3,Составное; сель доминирует; наводнение присутствует. Верно.
"дождь, снег",nat.meteo.downpour,nat.meteo.snowfall,yes,3,Дождь и снег; дождь ведущий. Верно.
изменение русла реки,nat.hydro.flood,,yes,3,Изменение русла (боковая эрозия/переформирование) — точного листа нет; ближайший гидро-лист. Слабое сопоставление; альт. nat.geo.landslide (обрушение берега). Согласен при низкой уверенности.
мороз,nat.meteo.frost,,yes,3,мороз. Верно.
"землетрясение, дожди, сели",nat.geophys.earthquake,nat.geo.mudflow|nat.meteo.downpour,yes,3,Составное; землетрясение наиболее разрушительно → primary. Верно.
"Сели, сильный ветер",nat.geo.mudflow,nat.meteo.windstorm,yes,3,Составное; сель доминирует. Верно.
"сильные осадки, лавины",nat.geo.avalanche,nat.meteo.snowfall,yes,3,Лавина > снегопад (правило); 'сильные осадки' в контексте лавин = снегопад. Верно.
камнепады,nat.geo.rockfall,,yes,3,камнепады = камнепад/обвал. Верно.
"ветер, подъем уровня воды",nat.hydro.flood,nat.meteo.windstorm,no,2,Подъём уровня воды=наводнение; доминирует над ветром.
"Снегопады, лавины",nat.geo.avalanche,nat.meteo.snowfall,no,2,Правило: лавина>снегопад.
"дождь, ветер, сели",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.windstorm,no,2,Правило: сель>дождь; сель доминирует.
"дожди, сель, ветер",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.windstorm,no,2,Сель доминирует.
"дожди, град, наводнение",nat.hydro.flood,nat.meteo.downpour|nat.meteo.hail,no,2,Правило: наводнение>дождь.
Град,nat.meteo.hail,,no,2,Град.
"дожди, снегопады, лавины, сели",nat.geo.mudflow,nat.geo.avalanche|nat.meteo.downpour|nat.meteo.snowfall,no,2,"Два геособытия; сель как наиболее разрушительное — primary, лавина в secondary."
провал земли,nat.geo.subsidence,,no,2,Провал/просадка грунта.
"дождь, град, наводнение",nat.hydro.flood,nat.meteo.downpour|nat.meteo.hail,no,2,Наводнение>дождь.
"сели, ветер",nat.geo.mudflow,nat.meteo.windstorm,no,2,Сель доминирует.
"дожди, сели, град",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.hail,no,2,Сель доминирует.
"дожди, паводки",nat.hydro.freshet,nat.meteo.downpour,no,2,Паводок доминирует над дождём.
Провал участка земли,nat.geo.subsidence,,no,2,Провал участка грунта → просадка.
"дождь, сель, наводнение",nat.geo.mudflow,nat.hydro.flood|nat.meteo.downpour,no,2,Сель (селевой поток) как наиболее разрушительное — primary; наводнение в secondary.
"дождь, град, сель, наводнение",nat.geo.mudflow,nat.hydro.flood|nat.meteo.downpour|nat.meteo.hail,no,2,Сель доминирует; наводнение/дождь/град в secondary.
"дожди, град, сель, оползень",nat.geo.mudflow,nat.geo.landslide|nat.meteo.downpour|nat.meteo.hail,no,2,"Два геособытия; сель — primary, оползень в secondary."
"лавины, камнепады",nat.geo.avalanche,nat.geo.rockfall,no,2,Лавина как более масштабное — primary; камнепад в secondary.
"сильные дожди,сели, оползень",nat.geo.mudflow,nat.geo.landslide|nat.meteo.downpour,no,2,Сель доминирует; оползень в secondary.
"сильные дожди, снег",nat.meteo.downpour,nat.meteo.snowfall,no,2,Без геособытий; сильные дожди — ведущий фактор.
"сильные дожди, снег, лавина",nat.geo.avalanche,nat.meteo.downpour|nat.meteo.snowfall,no,2,Лавина>снегопад; лавина — primary.
"Сильные дожди, град",nat.meteo.downpour,nat.meteo.hail,no,2,Дождь ведущий; град в secondary.
"дожди, град, сель",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.hail,no,2,Сель доминирует.
аз кувваи барк,accident.electrocution,,no,2,аз қуввати барқ=поражение электротоком.
шахсияташ номаълум,accident.other,,no,2,'личность неизвестна' — неопознанное лицо/тело; без указания воды → accident.other.
гирифтори касалии гепотит,bio.epidemic,,no,2,Заболевание гепатитом — инфекционная болезнь → эпидемическая категория.
боришоти барфи зиёд,nat.meteo.snowfall,,no,2,Обильный снегопад.
сабаби нуќсони техникї,accident.other,,no,2,"'по причине технической неисправности' — описание причины, а не тип ЧС; событие неясно."
саг газида,accident.other,,no,2,Укус собаки → несчастный случай.
таркиш ё лағжиши кишри замин,nat.geophys.earthquake,,no,2,'разрыв или сдвиг земной коры' → сейсмика; возможна путаница с оползнем (лағжиш).
лагжиши замин,nat.geo.landslide,,no,2,лағжиши замин=оползень.
ихрочи газ (хлор),tech.chemical,,no,2,Выброс газа (хлор) → ХОВ.
сухтор аз гармии хаво,tech.fire_explosion,,no,2,Пожар из-за жары; по умолчанию бытовой; возможен природный/травяной → nat.fire.
садамаи хавои,tech.transport.aviation,,no,2,садамаи ҳавоӣ=авиапроисшествие.
таркиши газ,tech.fire_explosion,,no,2,Взрыв газа → взрыв/пожар.
ЗЕРИ БАРФ МОНДА,nat.geo.avalanche,,no,2,'остался под снегом' — вероятно засыпан лавиной; возможен снегозанос/снегопад → nat.meteo.snowfall.
АЗ ЧАРИ АФТИДА,accident.other,,no,2,Tajik 'аз ҷарӣ афтида' = fell from a ravine/cliff; a fall (падение) → other incident.
Садамаи наклиёти,tech.transport.road,,no,2,'садамаи нақлиёт' = transport/road accident (ДТП).
Садамаи наклиёти дар об,tech.transport.road,accident.drowning,no,2,"Transport accident 'in water'; drowning outcome inferred from 'дар об', kept as secondary."
садамаи наклиёти ба ҷари афтида,tech.transport.road,,no,2,"Transport accident, vehicle fell into a ravine; the fall is inherent to the crash."
Садамаи нақлётӣ,tech.transport.road,,no,2,Transport accident (typo of нақлиётӣ) → ДТП.
Сухтори табии,nat.fire,,no,2,'сӯхтори табиӣ' = natural/wildfire.
захролудшави аз хурок,bio.poisoning,,no,2,'заҳролудшавӣ аз хӯрок' = food poisoning.
таркиш,tech.fire_explosion,,no,2,'таркиш' = explosion → взрыв.
яхбандӣ,nat.meteo.frost,,no,2,'яхбандӣ' = frost/icing (яхбандон).
баҳсу муноқишаи байнисарҳадӣ,accident.other,,no,2,"трансграничный конфликт — вне таксономии природных/техно ЧС [manual, review]"
заҳролудшавии одамон,bio.poisoning,,no,2,'poisoning of people'; source unspecified (food/chemical).
кашидани об аз таҳхона,nat.hydro.waterlogging,,no,2,'pumping water out of a basement' — response to basement flooding → подтопление/waterlogging.
боришоти борон аз меъёр зиёд (сел),nat.geo.mudflow,nat.meteo.downpour,no,2,"Above-norm rainfall causing mudflow; сель dominant, rain secondary."
боришоти борн аз меъёр зиёд,nat.meteo.downpour,,no,2,Above-norm rainfall (typo 'борн'); no secondary hazard named.
қубури магистрали,tech.utilities,,no,2,магистральный трубопровод — авария ЖКХ [manual]
шамоли барфтуда,nat.meteo.windstorm,nat.meteo.snowfall,yes,1,"Подтверждаю. шамол=ветер (главное слово в изафете), барфтӯда=снежный занос/метель. Буран: доминирует ветер → windstorm primary, снег → secondary snowfall. Confidence medium — пограничность со snowfall."
боришоти борон аз меъёр зиёд(баландшави сатҳи дарё),nat.hydro.flood,nat.meteo.downpour,yes,1,"Подтверждаю. Осадки выше нормы (ливень) → подъём уровня реки=наводнение. Правило наводнение>дождь: flood primary, downpour secondary. High."
зидди жола (3 адад),nat.meteo.hail,,yes,1,"Подтверждаю. зидди жола=противоградовое мероприятие (3 ед.), базовый хазард — жола=град. Классифицируем по хазарду → hail. Note: операция противодействия. High."
зидди жола (2 адад),nat.meteo.hail,,yes,1,"Подтверждаю. зидди жола=противоградовая защита (2 ед.), хазард — град. High."
зиди жола (32),nat.meteo.hail,,yes,1,"Подтверждаю. зиди=опечатка зидди; жола=град. Противоградовое мероприятие (32 ед.), хазард — град. High."
зиди жола (80),nat.meteo.hail,,yes,1,"Подтверждаю. зиди=опечатка зидди; жола=град. Противоградовое мероприятие (80 ед.), хазард — град. High."
садамаи найлиёти,tech.transport.road,,yes,1,Подтверждаю. найлиёти=опечатка нақлиёт; садамаи нақлиёт=транспортное происшествие=ДТП. Вид транспорта не уточнён → по умолчанию дорожный. High.
наҷоти ҳайвонҳо,accident.other,,yes,1,"Подтверждаю. наҷоти ҳайвонҳо=спасение животных — ПСР-операция, а не вид ЧС. bio.epizootic не подходит (не эпизоотия). Fallback — прочее происшествие. Low; альтернатива UNKNOWN, но запись читаема, поэтому accident.other."
боришоти борн аз меъёр зиёд (баландашави сатҳи оби дарёи Ёхсу),nat.hydro.flood,nat.meteo.downpour,yes,1,"Подтверждаю. борн=опечатка борон. Осадки выше нормы → подъём уровня воды р. Яхсу=наводнение. Наводнение>дождь: flood primary, downpour secondary. High."
раду барқ,nat.meteo.lightning,,yes,1,Подтверждаю. раду барқ=раъду барқ (пропущен ъ)=гроза/удар молнии. High.
бемори руҳи,accident.other,,yes,1,"Подтверждаю с оговоркой. бемории рӯҳӣ=психическое заболевание. Ни хазард, ни био-код (про инфекции) не подходят; вероятно происшествие с психически больным. Fallback — прочее происшествие. Low; возможен UNKNOWN, но запись читаема → accident.other."
шамоли сахт ва раду барқ,nat.meteo.windstorm,nat.meteo.lightning,yes,1,"Подтверждаю. Составное: шамоли сахт=сильный ветер + раъду барқ=гроза/молния. Доминанта — более разрушительный сильный ветер → windstorm primary, lightning secondary. Medium."
худкуши (ғаркшави),accident.drowning,,yes,1,"Подтверждаю. худкушӣ=суицид, механизм — ғарқшавӣ=утопление, вода указана явно. Кода суицида нет; классифицируем по механизму → drowning. Note: обстоятельство — самоубийство. Medium."
бе назардошти волидайн (ғаркшави),accident.drowning,,yes,1,Подтверждаю. бе назардошти волидайн=без присмотра родителей + ғарқшавӣ=утопление. Утопление ребёнка без надзора → drowning. High.
