raw_token,primary_code,secondary_codes,verified,freq,note
боришоти борн аз меъёр зиёд(сангреза),nat.geo.rockfall,nat.meteo.downpour,yes,1,"Подтверждаю. борн=опечатка борон. Осадки выше нормы (триггер) + сангреза=камнепад/обвал (nat.geo.rockfall). Гео-эффект доминирует → rockfall primary, downpour secondary. Medium (сангреза=каменный сход, не сель)."
боришоти борн аз меъёр зиёд(сел),nat.geo.mudflow,nat.meteo.downpour,yes,1,"Подтверждаю. борн=опечатка борон. Осадки выше нормы + сел=сель. Правило сель>дождь: mudflow primary, downpour secondary. High."
"дожди, сели, резкое похолодание",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.frost,yes,1,Составное. Сель доминирует (разрушительнее дождя/похолодания). 'резкое похолодание'→ближайший лист мороз. Все 3 токена покрыты. high.
"дожди, сели, подъем почвенных вод",nat.geo.mudflow,nat.meteo.downpour|nat.hydro.waterlogging,yes,1,Сель доминирует; 'подъём почвенных вод'=подтопление грунтовыми водами; дождь вторично. high.
инфильтрация воды из канала,nat.hydro.waterlogging,,yes,1,"Просачивание из канала→подтопление, не паводок/наводнение (нет русла реки). medium."
"интенсивное таяние снега,",nat.hydro.freshet,,yes,1,"Снеготаяние→паводок (половодье). Запятая — артефакт, одиночный токен. medium."
"Сели, ветер",nat.geo.mudflow,nat.meteo.windstorm,yes,1,Сель доминирует; ветер вторично. high.
"Сильный ветер, град",nat.meteo.windstorm,nat.meteo.hail,yes,1,"Оба метео; акцент 'сильный'→ветер primary, град вторично. Доминант условен. medium."
"Обильные дожди, снегопад",nat.meteo.downpour,nat.meteo.snowfall,yes,1,"Нет гео/гидро-опасности; обильные дожди primary, снегопад вторично. medium."
"землетрясение, сильные дожди",nat.geophys.earthquake,nat.meteo.downpour,yes,1,Землетрясение — наиболее разрушительное; дожди вторично. high.
"дождь, сель, лавина",nat.geo.mudflow,nat.geo.avalanche|nat.meteo.downpour,yes,1,"Сель и лавина оба разрушительны; сель доминант (иерархия сель>лавина по проекту), дождь-триггер вторично. medium."
"сильный дождь, таяние снега",nat.hydro.freshet,nat.meteo.downpour,yes,1,Снеготаяние→паводок как доминирующий процесс; дождь вторично. medium.
"дожди, паводки, ветер",nat.hydro.freshet,nat.meteo.downpour|nat.meteo.windstorm,yes,1,Паводки явно→freshet доминант; дожди и ветер вторично. high.
"дожди, град, сели, наводнения",nat.geo.mudflow,nat.hydro.flood|nat.meteo.hail|nat.meteo.downpour,yes,1,Сель доминант над наводнением; град и дождь вторично. Все 4 покрыты. medium.
"дождь, град, сель, ветер",nat.geo.mudflow,nat.meteo.hail|nat.meteo.windstorm|nat.meteo.downpour,yes,1,"Сель доминирует; град, ветер, дождь вторично. high."
"дождь, наводнение, сель",nat.geo.mudflow,nat.hydro.flood|nat.meteo.downpour,yes,1,Сель доминант над наводнением (политика проекта); дождь вторично. medium.
"дожди, снижение температуры воздуха",nat.meteo.downpour,nat.meteo.frost,yes,1,Дожди primary; снижение температуры→мороз (ближайший лист) вторично. medium.
"дожь, сель, ветер",nat.geo.mudflow,nat.meteo.windstorm|nat.meteo.downpour,yes,1,"Опечатка 'дожь'=дождь. Сель доминирует; ветер, дождь вторично. high."
"доджди, понижение температуры воздуха",nat.meteo.downpour,nat.meteo.frost,yes,1,Опечатка 'доджди'=дожди. Дожди primary; понижение температуры→мороз вторично. medium.
"дожди, сель, наводнение",nat.geo.mudflow,nat.hydro.flood|nat.meteo.downpour,yes,1,Сель доминант над наводнением; дождь вторично. medium.
"Наводнения, дождь, сель, ветер",nat.geo.mudflow,nat.hydro.flood|nat.meteo.windstorm|nat.meteo.downpour,yes,1,"Сель доминант; наводнение, ветер, дождь вторично. Все 4 покрыты. medium."
Сели и оползни,nat.geo.mudflow,nat.geo.landslide,yes,1,Обе гео-опасности; сель выбран доминантом для консистентности проекта (спорно — оползень тоже разрушителен). medium.
"дождь, снег, оползень",nat.geo.landslide,nat.meteo.snowfall|nat.meteo.downpour,yes,1,Оползень — наиболее разрушительный (сели нет); снег и дождь (триггеры) вторично. medium.
"Лавина, сель",nat.geo.mudflow,nat.geo.avalanche,yes,1,Сель доминант над лавиной (консистентно); лавина вторично. medium.
"дожди, резкие похолодание и потепление, наводнения",nat.hydro.flood,nat.meteo.downpour|nat.meteo.frost,yes,1,Наводнение доминирует; дожди и похолодание(мороз) вторично. 'потепление' не кодируется (не жара). medium.
Камнепад,nat.geo.rockfall,,yes,1,Камнепад/обвал — прямое соответствие. high.
Оползень/землетрясение,nat.geophys.earthquake,nat.geo.landslide,yes,1,Слэш=неопределённость. Землетрясение primary как наиболее разрушительное; оползень (возможно сейсмогенный) вторично. medium.
"ветер, землетрясение",nat.geophys.earthquake,nat.meteo.windstorm,yes,1,Землетрясение доминирует; ветер вторично. high.
"дожди, понижение температуры воздуха",nat.meteo.downpour,nat.meteo.frost,yes,1,Дожди primary; понижение температуры→мороз вторично. medium.
"дождь, сели, наводнение",nat.geo.mudflow,nat.hydro.flood|nat.meteo.downpour,yes,1,Сель доминант над наводнением; дождь вторично. medium.
трещины в земле,nat.geo.subsidence,,yes,1,"Трещины грунта→вероятно просадка; возможен предвестник оползня, точный лист неопределён. low."
Просадка грунта,nat.geo.subsidence,,yes,1,Прямое соответствие. high.
Лавины,nat.geo.avalanche,,yes,1,Прямое соответствие. high.
"снегопады, дождь, подъем грунтовых вод, проседание грунта",nat.geo.subsidence,nat.hydro.waterlogging|nat.meteo.downpour|nat.meteo.snowfall,yes,1,"Проседание грунта — итоговое повреждение (доминант); подъём грунтовых вод=подтопление, дождь, снегопад вторично. Все 4 покрыты. medium."
"снегопад, дождь, подъем грунтовых вод",nat.hydro.waterlogging,nat.meteo.downpour|nat.meteo.snowfall,yes,1,"Подъём грунтовых вод=подтопление (доминирующий гидропроцесс); дождь, снегопад вторично. medium."
"лавины, сели",nat.geo.mudflow,nat.geo.avalanche,yes,1,Сель доминант (консистентно); лавина вторично. medium.
"снегопад, дождь, лавина",nat.geo.avalanche,nat.meteo.snowfall|nat.meteo.downpour,yes,1,Правило лавина>снегопад: лавина доминирует; снегопад и дождь вторично. high.
просадка грунта,nat.geo.subsidence,,yes,1,Прямое соответствие. high.
"дождь, снегопад, наводнение",nat.hydro.flood,nat.meteo.snowfall|nat.meteo.downpour,yes,1,Правило наводнение>дождь: наводнение доминирует; снегопад и дождь вторично. high.
"дожди, сель, снегопады, мороз",nat.geo.mudflow,nat.meteo.snowfall|nat.meteo.frost|nat.meteo.downpour,yes,1,"Сель доминирует; снегопады, мороз, дожди вторично. Все 4 покрыты. high."
"дождь, град, ветерсели",nat.geo.mudflow,nat.meteo.hail|nat.meteo.windstorm|nat.meteo.downpour,yes,1,"Слипшийся токен 'ветерсели'=ветер+сели. Сель доминирует; град, ветер, дождь вторично. medium."
"дожди, грозы, наводнения, сели, заморозки",nat.geo.mudflow,nat.hydro.flood|nat.meteo.lightning|nat.meteo.frost|nat.meteo.downpour,yes,1,"Сель доминант над наводнением; грозы→гроза/молния, заморозки→мороз, дожди вторично. Все 5 покрыты. medium."
"гроза, дождь, землетрясение",nat.geophys.earthquake,nat.meteo.lightning|nat.meteo.downpour,yes,1,Землетрясение доминирует; гроза и дождь вторично. high.
"дожди, снегопады, землетрясение",nat.geophys.earthquake,nat.meteo.snowfall|nat.meteo.downpour,yes,1,Землетрясение доминирует; снегопады и дожди вторично. high.
"дождь, снег, ветер, мороз",nat.meteo.snowfall,nat.meteo.windstorm|nat.meteo.frost|nat.meteo.downpour,yes,1,Зимний метео-комплекс; наличие мороза→осадки как снег→снегопад primary. Ветер/мороз/дождь вторично. Доминант условен (альтернатива — ветер). low.
дождь снег,nat.meteo.downpour,nat.meteo.snowfall,yes,1,"Смешанные осадки; дождь primary (первый), снег вторично. Доминант условен. low."
"дожди, лавины",nat.geo.avalanche,nat.meteo.downpour,yes,1,Лавина — наиболее разрушительна; дожди вторично. high.
"дожди, перелив канала",nat.hydro.waterlogging,nat.meteo.downpour,yes,1,"Согласен, medium. Перелив канала → подтопление прилегающих земель (доминанта), дожди — вторичный фактор. Подтопление точнее наводнения для разлива; отдельного кода ирригации нет."
"дождь, подъем уровня воды",nat.hydro.flood,nat.meteo.downpour,yes,1,"Согласен, high. Подъём уровня воды = наводнение (правило наводнение>дождь); дожди вторично."
перелив канала,nat.hydro.waterlogging,,yes,1,"Согласен, medium. Перелив → подтопление; спец. кода ирригации нет. Осмысленно отличается от 'прорыв канала' (авария инфраструктуры → hydrodynamic)."
"дожди, град, сели, ветер, обвалы",nat.geo.mudflow,nat.geo.rockfall|nat.meteo.hail|nat.meteo.windstorm|nat.meteo.downpour,yes,1,"Согласен, high. Доминанта — сель; обвалы→камнепад/обвал, град, ветер, дожди вторичны."
подмыв берега,nat.hydro.flood,,yes,1,"Согласен, но low. Подмыв/эрозия берега — водная переработка берега; точного кода эрозии нет. Гидро-код (наводнение) — наименее плохой; альтернатива — паводок (nat.hydro.freshet)."
"дожди,снегопады,ветер",nat.meteo.snowfall,nat.meteo.downpour|nat.meteo.windstorm,yes,1,"Согласен, medium. Зимний микс без явного разрушительного маркера; снегопад как доминанта выбран условно (допустим и ветер)."
"дожди,повышение уровня воды",nat.hydro.flood,nat.meteo.downpour,yes,1,"Согласен, high. Повышение уровня воды = наводнение (доминанта); дожди вторично."
"сильные дожди,оползень",nat.geo.landslide,nat.meteo.downpour,yes,1,"Согласен, high. Оползень — доминанта; сильные дожди — вторичный триггер."
"камнепад, ополозень",nat.geo.landslide,nat.geo.rockfall,yes,1,"Согласен, medium. 'ополозень'=оползень (опечатка); оползень доминанта (крупнее/разрушительнее), камнепад вторично."
сильные ветер,nat.meteo.windstorm,,yes,1,"Согласен, high. Опечатка согласования = сильный ветер."
"град, дожди",nat.meteo.hail,nat.meteo.downpour,yes,1,"Согласен, medium. Град значимее по ущербу; дождь вторично."
"Сильный ветер, дождь, град",nat.meteo.windstorm,nat.meteo.hail|nat.meteo.downpour,yes,1,"Согласен, medium. 'Сильный ветер' явно акцентирован и стоит первым → доминанта; град и дождь вторичны."
продолжительные сильные дождья,nat.meteo.downpour,,yes,1,"Согласен, high. Опечатка 'дождья' = дожди (продолжительные сильные)."
"сильный ветер, снегопад",nat.meteo.windstorm,nat.meteo.snowfall,yes,1,"Согласен, medium. Буран: 'сильный ветер' акцентирован → доминанта, снегопад вторично. Согласуется с п.6, где ветер без 'сильный' не доминировал."
отравления людей,bio.poisoning,,yes,1,"Согласен, high. Отравление людей."
обвал скалы,nat.geo.rockfall,,yes,1,"Согласен, high. Обвал скалы = обвал/камнепад."
"лавина, сель",nat.geo.mudflow,nat.geo.avalanche,yes,1,"Согласен, но near-tie (low/medium). Правила лавина-vs-сель нет; оба крайне разрушительны. Сель как сигнатурная угроза — допустимая доминанта, но лавина не менее валидна."
"сель, оползень",nat.geo.mudflow,nat.geo.landslide,yes,1,"Согласен, high. Сель (текучий поток, дальнобойнее) — доминанта; оползень вторично."
"дождь, сель",nat.geo.mudflow,nat.meteo.downpour,yes,1,"Согласен, high. Правило сель>дождь."
"дожди, наводнение",nat.hydro.flood,nat.meteo.downpour,yes,1,"Согласен, high. Правило наводнение>дождь."
прорыв плотины водосборника,tech.hydrodynamic,,yes,1,"Согласен, high. Прорыв плотины/дамбы водосборника = гидродинамическая авария."
"дождь, сель, оползень",nat.geo.mudflow,nat.geo.landslide|nat.meteo.downpour,yes,1,"Согласен, high. Сель — доминанта; оползень и дождь вторичны."
прорыв канала,tech.hydrodynamic,,yes,1,"Согласен, medium. Прорыв (разрушение водоудерживающей структуры) ближе к гидродинамической аварии, в отличие от 'перелива' (→ подтопление). Отдельного кода канала нет."
"ветер, дождт, снег",nat.meteo.snowfall,nat.meteo.windstorm|nat.meteo.downpour,yes,1,"Согласен, medium. Опечатка 'дождт'=дождь; зимний микс, снег условно доминанта (как п.6)."
гололед,nat.meteo.frost,,yes,1,"Согласен, medium. Гололёд/обледенение; отдельного кода нет → мороз/яхбандон."
авария на ж/д,tech.transport.railway,,yes,1,"Согласен, high. Железнодорожная авария."
"камнепады, лавины",nat.geo.avalanche,nat.geo.rockfall,yes,1,"Согласен, medium. Лавины крупнее/разрушительнее → доминанта; камнепады вторично."
"снегопады, гололедица на дорогах",nat.meteo.snowfall,nat.meteo.frost,yes,1,"Согласен, medium. Снегопад доминанта; гололедица→мороз/обледенение (нет отд. кода). Согласуется с п.25."
снегопад,nat.meteo.snowfall,,yes,1,"Согласен, high. Снегопад."
разрушение канала,tech.hydrodynamic,,yes,1,"Согласен, low. Разрушение ирригации → гидродинамическая, но истинная причина (сель/землетрясение/износ) неясна — отсюда низкая уверенность."
туман на дорогах,nat.meteo.fog,,yes,1,"Согласен, high. Туман."
"сель, град",nat.geo.mudflow,nat.meteo.hail,yes,1,"Согласен, high. Сель — доминанта; град вторично."
cел,nat.geo.mudflow,,yes,1,"Согласен, high. 'cел' (латинская c, опечатка) = сель."
лед,nat.meteo.frost,,yes,1,"Согласен, low. 'лед' неоднозначно (наледь/обледенение/лёд на реке); отд. кода нет → мороз/яхбандон."
лесной пожар,nat.fire,,yes,1,"Согласен, high. Лесной пожар = природный пожар."
1- резиши санг,nat.geo.rockfall,,yes,1,"Согласен, high. тадж. 'рехиши/резиши санг' = сход/падение камней → камнепад."
2 - кандашавии кухпора,nat.geo.rockfall,,yes,1,"Согласен, high. 'кандашавии кӯҳпора' = откол/обрушение скальной массы → обвал/камнепад."
3 - афтодани куњпора,nat.geo.rockfall,,yes,1,"Согласен, high. 'афтодани кӯҳпора' = падение скальной массы → обвал/камнепад."
4 - санг фаромад.,nat.geo.rockfall,,yes,1,"Согласен, high. 'санг фаромад' = камень сошёл/упал → камнепад."
5 - санг фаромад.,nat.geo.rockfall,,yes,1,"Согласен, high. 'санг фаромад' = камень сошёл/упал → камнепад."
6 - санг фаромад.,nat.geo.rockfall,,yes,1,"Согласен, high. 'санг фаромад' = камень сошёл/упал → камнепад."
7- кандашавии пирях,nat.geo.rockfall,,yes,1,"Согласен, low. 'кандашавии пирях' = откол/обвал ледника → 'ледовый обвал' (термин 'обвал' входит в код rockfall). Альтернатива — ледовая лавина (nat.geo.avalanche), если масса сошла потоком. Точного ледникового кода нет."
8 - лаѓжиши куњпора,nat.geo.rockfall,,yes,1,"Согласен, medium. 'лағжиши кӯҳпора' = сползание скальной массы ≈ санглағж (входит в код rockfall). Возможен скальный оползень (nat.geo.landslide)."
САДАМА ДАР ШАХТА,accident.other,,yes,1,"Согласен, low. 'садама дар шахта' = авария в шахте; спец. кода горных аварий нет. tech.collapse = только 'обрушение здания', точно не подходит → прочее происшествие."
Садамаи наклёт дар ҷари афтида,tech.transport.road,,yes,1,"Согласен, high. 'садамаи нақлиёт, дар ҷарӣ афтида' = ДТП, транспорт упал в ущелье/овраг."
отложение мокрого снега,nat.meteo.snowfall,,no,1,Wet-snow accretion/deposition (icing/snow load); closest leaf is snowfall.
самовозгорание угля,tech.fire_explosion,,no,1,"Spontaneous combustion of coal — a technogenic fire; no dedicated leaf, mapped to fire/explosion."
"Град, дождь, сильный ветер",nat.meteo.windstorm,nat.meteo.hail|nat.meteo.downpour,no,1,Pure-meteo combo; 'сильный ветер' flagged as severe → primary; hail+rain secondary.
"Град, сели, наводнение",nat.geo.mudflow,nat.hydro.flood|nat.meteo.hail,no,1,Mudflow taken as most destructive over flood/hail.
"Сели, обвалы, камнепады",nat.geo.mudflow,nat.geo.rockfall,no,1,обвалы+камнепады both → rockfall; сель dominant.
"снегопады, ветер, лавина",nat.geo.avalanche,nat.meteo.snowfall|nat.meteo.windstorm,no,1,Rule лавина>снегопад; avalanche primary.
"снегопады, сели, обвалы, оползни, камнепады",nat.geo.mudflow,nat.geo.rockfall|nat.geo.landslide|nat.meteo.snowfall,no,1,"сель dominant; обвалы+камнепады→rockfall, оползни→landslide, снегопады→snowfall."
"дожди, снегопад, землетрясение",nat.geophys.earthquake,nat.meteo.downpour|nat.meteo.snowfall,no,1,Earthquake most destructive → primary.
"дожди,ветер",nat.meteo.downpour,nat.meteo.windstorm,no,1,"Heavy rains leading, plain 'ветер' secondary; borderline vs windstorm."
"Сели, ураг.ветер",nat.geo.mudflow,nat.meteo.windstorm,no,1,сель dominant; 'ураг.ветер'=hurricane wind → windstorm secondary.
"дождь, снег, ветер, землетрясение",nat.geophys.earthquake,nat.meteo.downpour|nat.meteo.snowfall|nat.meteo.windstorm,no,1,Earthquake dominant; снег→snowfall.
"дожди, ветер, сели, заморозки",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.windstorm|nat.meteo.frost,no,1,сель dominant; заморозки→frost.
"дожди, град, оползень",nat.geo.landslide,nat.meteo.downpour|nat.meteo.hail,no,1,"Landslide is the geo hazard, dominant over rain/hail."
"Сели, наводнения, оползень",nat.geo.mudflow,nat.hydro.flood|nat.geo.landslide,no,1,сель dominant over flood/landslide.
"Дожди, сели, град",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.hail,no,1,сель dominant.
"дожди, гроза, град, ветер, сели",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.lightning|nat.meteo.hail|nat.meteo.windstorm,no,1,сель dominant; гроза→lightning.
"дожди, град, ветер, сели, наводнения",nat.geo.mudflow,nat.hydro.flood|nat.meteo.downpour|nat.meteo.hail|nat.meteo.windstorm,no,1,сель dominant over flood and meteo triggers.
"дожди, град, ветер, сель",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.hail|nat.meteo.windstorm,no,1,сель dominant.
"дождь, сели, наводнение, ветер",nat.geo.mudflow,nat.hydro.flood|nat.meteo.downpour|nat.meteo.windstorm,no,1,сель dominant over flood/rain/wind.
Сб,accident.other,,no,1,"неясная аббревиатура → прочее [manual, review]"
"дожди, резкое потепление, наводнения",nat.hydro.flood,nat.meteo.downpour|nat.hydro.freshet,no,1,"Flood explicit and dominant; 'резкое потепление'=rapid thaw → snowmelt (freshet driver), no exact leaf."
"Дожди, сель, ветер",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.windstorm,no,1,сель dominant.
"дождь, ветер, снегопад, мороз",nat.meteo.snowfall,nat.meteo.downpour|nat.meteo.windstorm|nat.meteo.frost,no,1,"Winter complex, no geo/flood hazard; snowfall taken as dominant; borderline vs windstorm."
"дождь, град, сели, наводнения",nat.geo.mudflow,nat.hydro.flood|nat.meteo.downpour|nat.meteo.hail,no,1,сель dominant over flood/rain/hail.
"дождь, снегопад",nat.meteo.snowfall,nat.meteo.downpour,no,1,"Mixed precipitation; snowfall taken as dominant, borderline vs rain."
"дождь, ветер, снег, мороз",nat.meteo.snowfall,nat.meteo.downpour|nat.meteo.windstorm|nat.meteo.frost,no,1,"Winter complex; snowfall taken as dominant (снег→snowfall); same pattern as 'дождь, ветер, снегопад, мороз'."
"дожди, землетрясение",nat.geophys.earthquake,nat.meteo.downpour,no,1,Earthquake dominant.
"град, ветер, сели",nat.geo.mudflow,nat.meteo.hail|nat.meteo.windstorm,no,1,сель dominant.
"дожди, град, ветер, сели,",nat.geo.mudflow,nat.meteo.downpour|nat.meteo.hail|nat.meteo.windstorm,no,1,сель dominant (trailing comma ignored).
сильное таяние снега,nat.hydro.freshet,,no,1,'intense snowmelt' → snowmelt flood (паводок/freshet).
Истеъмоли хуролка,bio.poisoning,,yes,1,"истеъмоли хӯрока = приём пищи; в реестре ЧС такой токен = событие пищевого отравления → bio.poisoning. Confidence low: терсно, альтернатива — поперхивание (accident.other). Согласен."
Садамаи наклёт дар ҷуйбор афтида,tech.transport.road,,yes,1,садамаи нақлиёт + афтода в арык/ручей (ҷуйбор) = ДТП. High. Согласен.
Садамаи наклёт Чапашави,tech.transport.road,,yes,1,ДТП с опрокидыванием (чаппашавӣ). High. Согласен.
АЗ ДУДИ АНГИШТ,bio.poisoning,,yes,1,аз дуди ангишт = от угольного дыма → отравление угарным газом. Единственная корзина отравлений — bio.poisoning (несмотря на префикс bio). Medium. Согласен.
БА ДОР ОВЕХТА,accident.other,,yes,1,ба дор овехта = повешение (суицид); специального кода нет → accident.other. Medium. Согласен.
Садамаи наклёт ба ҷари афтида,tech.transport.road,,yes,1,ДТП: падение в овраг/пропасть (ҷар). High. Согласен.
"ТАРМА , сангрез",nat.geo.avalanche,nat.geo.rockfall,yes,1,"Составное: лавина (тарма, первая/наиболее разрушительная) + камнепад (сангрез). Primary=лавина. High. Согласен."
Дарёфти часад,accident.other,,yes,1,"дарёфти ҷасад = обнаружение тела без указания воды → accident.other (правило, НЕ drowning). Medium. Согласен."
МАВОДИ ТАРКАНДА,tech.fire_explosion,,yes,1,"маводи тарканда = взорвавшееся ВВ (тарканда — от таркидан, взрыв произошёл) → tech.fire_explosion. Контраст с «нотаркида» (не взорвалось). Medium. Согласен."
ёфтани часад,accident.other,,yes,1,ёфтани ҷасад = обнаружение тела без контекста воды → accident.other (правило). Medium. Согласен.
Боридани барфи зиёд,nat.meteo.snowfall,,yes,1,боридани барфи зиёд = обильный снегопад. High. Согласен.
САДАМИ КАТОРА,tech.transport.railway,,yes,1,садамаи қатора (қатора=поезд) = ж/д авария. High. Согласен.
Садамаи наклёти ба ҷари афтида,tech.transport.road,,yes,1,ДТП: падение в овраг (ҷар). High. Согласен.
Сухтор дар трансформатор,tech.power,tech.fire_explosion,yes,1,"Пожар в трансформаторе = отказ энергооборудования (не «в здании»), поэтому primary=tech.power, вторично пожар. Medium. Согласен, хотя допустима и обратная приоритетность."
Гаркшави (дарёти часад),accident.drowning,,yes,1,гаркшавӣ = утопление явно указано (гарқ); тело найдено. Вода явна → drowning (в отличие от «ёфтани ҷасад»). High. Согласен.
Ҳамлаи гург,accident.other,,yes,1,ҳамлаи гург = нападение волка; кода для нападения животных нет → accident.other. Low. Согласен.
Садамаи ниқлётӣ чаппашавӣ,tech.transport.road,,yes,1,ДТП с опрокидыванием (чаппашавӣ). High. Согласен.
Кандашавии пирях,nat.geo.avalanche,,yes,1,кандашавии пирях = отрыв ледника → ледовая лавина/обвал; ближайший код nat.geo.avalanche. Low: возможны nat.geo.rockfall (обвал) или nat.hydro.glof. Согласен с оговоркой.
Таркиши газ,tech.fire_explosion,,yes,1,таркиши газ = взрыв газа (бытовой). High. Согласен.
дар сандуќи сохтмонї дармемонанд.,accident.other,,yes,1,застряли в строительном ящике/бадье (сандуқи сохтмонӣ); ситуация неясна → accident.other. Low. Согласен.
Дар ҳоҷатхона афтида,accident.other,,yes,1,"падение в выгребную яму/туалет (ҳоҷатхона); нет явного «ғарқ» → accident.other, НЕ drowning. Medium. Согласен."
Зери хок монда,accident.other,,yes,1,"зери хок монда = засыпан землёй — исход, не причина; возможны оползень/обрушение траншеи. Контекста нет → accident.other. Low. Согласен."
Аз шамоли ҳавопаймо,accident.other,,yes,1,от воздушной струи самолёта (реактивный поток) — не природный ветер и не авиакатастрофа. Редкий случай → accident.other. Low. Согласен.
Бадор овехта,accident.other,,yes,1,ба дор овехта (слитно) = повешение → accident.other. Medium. Согласен.
Садамаи ниқлётӣ ба дарахт,tech.transport.road,,yes,1,ДТП: наезд на дерево (ба дарахт). High. Согласен.
Таркиши балони газ,tech.fire_explosion,,yes,1,таркиши балони газ = взрыв газового баллона. High. Согласен.
садамаи нактиёт,tech.transport.road,,yes,1,садамаи нақлиёт (опечатка) = ДТП. High. Согласен.
фурўравии замин,nat.geo.subsidence,,yes,1,фурӯравии замин = просадка/проседание грунта → nat.geo.subsidence. High. Согласен.
баровардани об аз таххона,nat.hydro.waterlogging,,yes,1,откачка воды из подвала (таххона) = подтопление. Medium; возможна авария ЖКХ (tech.utilities). Согласен.
садама дар корхонаи нафтӣ,tech.chemical,tech.fire_explosion,yes,1,"авария на нефтепредприятии, тип не указан; нефть=опасное вещество → tech.chemical, вторично пожар/взрыв. Low: fire_explosion как primary равновероятен. Согласен, оставляю low."
"3 то сангрез, тарма",nat.geo.rockfall,nat.geo.avalanche,yes,1,"Составное: 3 камнепада (сангрез, первый + количество 3) + лавина. Primary по первому/доминированию — камнепад. Medium. Согласен (принцип «первый/численно преобладающий» согласуется с ТАРМА,сангрез)."
тарма ва яхпора,nat.geo.avalanche,nat.geo.rockfall,yes,1,"лавина (тарма, первая) + ледяная глыба (яхпора); падение льда ≈ обвал → secondary nat.geo.rockfall. Medium. Согласен."
"сел, 2 ярч",nat.geo.mudflow,nat.geo.landslide,yes,1,Составное: сель (доминирует) + 2 оползня (ярч=сход грунта). Primary=сель. High. Согласен.
заҳролудшавӣ,bio.poisoning,,yes,1,заҳролудшавӣ = отравление людей (заҳр=яд); тип не уточнён → bio.poisoning. Medium. Согласен.
"сел, сангрез",nat.geo.mudflow,nat.geo.rockfall,yes,1,Составное: сель (доминирует) + камнепад (сангрез). Primary=сель. High. Согласен.
"сел, баландшавии сатҳи об",nat.geo.mudflow,nat.hydro.flood,yes,1,Составное: сель (доминирует) + подъём уровня воды (баландшавии сатҳи об = наводнение). Primary=сель. High. Согласен.
раъду барқ,nat.meteo.lightning,,yes,1,раъду барқ = гроза/удар молнии → nat.meteo.lightning. High. Согласен.
касалии сирояткунанда,bio.epidemic,,yes,1,"касалии сирояткунанда = инфекционное заболевание (люди) → bio.epidemic. Medium; если бы скот — epizootic, но контекст людской. Согласен."
4 сел,nat.geo.mudflow,,yes,1,4 селя → nat.geo.mudflow. High. Согласен.
фуруравии замин,nat.geo.subsidence,,yes,1,фурӯравии замин = просадка грунта (дубликат «фурўравии замин»). High. Согласен.
канда шудани пирях,nat.geo.avalanche,,yes,1,канда шудани пирях = отрыв ледника → ледовая лавина/обвал; дубликат «Кандашавии пирях». Low: альтернативы rockfall/glof. Согласен с оговоркой.
кашидани об аз таххона,nat.hydro.waterlogging,,yes,1,откачка воды из подвала (таххона) = подтопление; дубликат «баровардани об аз таххона». Medium; возможна tech.utilities. Согласен.
садамаи ҳавоӣ,tech.transport.aviation,,yes,1,садамаи ҳавоӣ = авиационная авария → tech.transport.aviation. High. Согласен.
садамаи нақлиёти (қатора),tech.transport.railway,,yes,1,транспортная авария с уточнением қатора (поезд) → ж/д. High. Согласен.
ёфтани муҳимоти но таркида,accident.other,,yes,1,ёфтани муҳимоти нотаркида = обнаружение неразорвавшегося боеприпаса; взрыва не было → accident.other (в отличие от «маводи тарканда»). Medium. Согласен.
қубури магистралӣ,tech.utilities,,no,0,"'main pipeline' (likely water/heat trunk main burst); could be gas — ambiguous, no explicit event word."
